term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
wert,1230,0.0276,0.023,0.0455,0.0355,0.0421,0.0521,0.0331
moralisch,357,0.0,0.0007,0.0034,0.0044,0.0284,0.0267,0.0001
handeln,338,0.0,0.0075,0.0063,0.002,0.0073,0.0272,0.006
gesellschaftlich,270,0.0237,0.0154,0.0093,0.0,0.0,0.0028,0.0053
ethisch,253,0.0,0.0157,0.0,0.0038,0.0015,0.0106,0.0105
fach,253,0.0044,0.0003,0.0394,0.0045,0.0,0.0016,0.0155
ethik,240,0.0101,0.0004,0.0004,0.0061,0.0058,0.0158,0.0121
unterricht,203,0.0,0.001,0.0335,0.0022,0.0,0.0,0.019
regel,189,0.0,0.0022,0.0,0.0391,0.006,0.0026,0.0001
sozial,178,0.0118,0.0043,0.0025,0.004,0.0076,0.0057,0.0084
kompetenz,177,0.0005,0.0006,0.0139,0.0064,0.0096,0.0054,0.0063
frage,175,0.0101,0.0043,0.0015,0.0123,0.0025,0.0029,0.0105
gesellschaft,171,0.005,0.0055,0.0034,0.0,0.0026,0.0087,0.0101
bedeutung,169,0.0,0.0028,0.0068,0.0083,0.0067,0.0092,0.0001
reflektieren,168,0.0,0.0102,0.0053,0.0,0.0016,0.0089,0.0001
mensch,162,0.0032,0.0028,0.0024,0.0,0.0042,0.0134,0.0001
verschieden,148,0.0,0.0079,0.0,0.0139,0.0064,0.0,0.0077
wertvorstellung,147,0.0167,0.0023,0.0045,0.0,0.0,0.0049,0.0051
religiös,140,0.0041,0.0,0.0101,0.0065,0.0022,0.0046,0.0059
beschreiben,140,0.0,0.0072,0.0,0.0,0.0202,0.0016,0.0001
leben,132,0.0045,0.0,0.0015,0.0,0.0016,0.0115,0.0057
erläutern,131,0.0,0.0012,0.0,0.0065,0.0125,0.0072,0.0001
entscheidung,130,0.0065,0.0136,0.0,0.0,0.0,0.0,0.0028
religion,126,0.0,0.0038,0.0086,0.007,0.0018,0.0039,0.0001
grundlage,125,0.0,0.0033,0.0049,0.0,0.0,0.0091,0.0049
historisch,115,0.0137,0.0036,0.005,0.0025,0.0,0.0016,0.0001
