rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,wert,1222,102.28733127382976,0.01911214477694167
2,bne,85,83.28023292935781,0.01556071361899476
3,werturteil,78,81.1927192499044,0.015170666648673937
4,beschreiben,141,76.35091788346975,0.014265987569221124
5,analysieren,73,67.2582726482314,0.012567048414419793
6,sozial,178,59.89505982372493,0.011191249595808849
7,handeln,338,57.11503451147408,0.010671808472557111
8,aussage,68,52.11166570060642,0.009736940900054487
9,entwicklung,107,50.586704184039725,0.009452005464542307
10,kriterium,93,49.797652450837205,0.009304573023264784
11,mensch,162,46.51469122994137,0.008691159520639757
12,bewerten,84,46.498348522266134,0.008688105924546805
13,institution,51,44.62274624305568,0.008337654095783497
14,gesellschaftlich,273,43.77613103406345,0.008179466055846237
15,normativ,49,42.6268979145828,0.007964734578463466
16,verschieden,148,41.70998832774561,0.00779341220107066
17,dimension,41,39.69347790502989,0.007416632020541937
18,zusammenhang,52,39.287055199496216,0.0073406929038198334
19,entscheidungssituation,42,37.85240322383167,0.007072631591417196
20,handlung,82,36.96839425675185,0.00690745661664232
