term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
kulturell,70,0.0004,0.0012,0.0309,0.0233,0.001,0.0436,0.0006,0.0348,0.02,0.0132,0.0006,0.0003
politisch,56,0.0074,0.0012,0.0004,0.0003,0.0213,0.0819,0.0005,0.0099,0.0002,0.1155,0.0404,0.0186
lernen,49,0.0004,0.0014,0.0004,0.0036,0.0006,0.0002,0.0005,0.056,0.0258,0.0008,0.0005,0.014
unterschiedlich,41,0.0076,0.0013,0.0004,0.0003,0.0006,0.0183,0.0126,0.0146,0.0085,0.0008,0.0005,0.0575
sozial,39,0.0004,0.0012,0.0431,0.0002,0.0299,0.0248,0.0005,0.0002,0.0002,0.0009,0.0871,0.004
sinn,38,0.0004,0.0012,0.0004,0.0031,0.0006,0.0614,0.0005,0.0198,0.0002,0.0009,0.0005,0.0004
entwickeln,37,0.0714,0.0278,0.0004,0.0002,0.0006,0.0002,0.0079,0.0002,0.0113,0.0008,0.0005,0.0195
position,36,0.0294,0.0102,0.0004,0.0002,0.0317,0.0002,0.0305,0.0002,0.0168,0.0465,0.0005,0.0127
empathie,34,0.0312,0.0013,0.0004,0.0003,0.0007,0.0002,0.0046,0.0002,0.0085,0.0008,0.0625,0.0193
fähigkeit,33,0.0148,0.0012,0.0004,0.0197,0.0006,0.0002,0.0005,0.0002,0.01,0.0322,0.0215,0.0276
mensch,32,0.0004,0.0012,0.0004,0.0002,0.0149,0.0168,0.0005,0.0143,0.0089,0.0008,0.0265,0.009
inhalt,31,0.0004,0.0012,0.0004,0.0426,0.0006,0.0002,0.0006,0.0174,0.0002,0.0261,0.0104,0.0004
setzen,29,0.0004,0.0013,0.0004,0.0487,0.0006,0.0002,0.0005,0.0002,0.0098,0.0011,0.0092,0.0002
historisch,28,0.0004,0.0012,0.0035,0.0263,0.001,0.0002,0.0005,0.0042,0.0002,0.0136,0.0114,0.0065
entwicklung,27,0.0004,0.0012,0.0431,0.0004,0.0136,0.0096,0.0005,0.0002,0.0018,0.0009,0.0215,0.008
verschieden,27,0.0059,0.0179,0.0004,0.001,0.0117,0.0232,0.0005,0.0002,0.0002,0.0009,0.0005,0.0281
handeln,26,0.0171,0.0012,0.0004,0.0043,0.0302,0.0002,0.0081,0.0002,0.0068,0.0009,0.0159,0.0098
umgang,26,0.0004,0.0465,0.0072,0.0002,0.0008,0.0002,0.0006,0.0002,0.0347,0.0008,0.0005,0.003
wert,26,0.0351,0.0101,0.0004,0.0002,0.002,0.0002,0.0128,0.024,0.0002,0.0009,0.0005,0.0003
aufgabe,25,0.0004,0.0012,0.0308,0.0002,0.0006,0.0002,0.0146,0.0199,0.0002,0.0008,0.0006,0.0117
auseinandersetzung,25,0.0009,0.0012,0.0004,0.0002,0.0147,0.0218,0.0039,0.0002,0.021,0.0009,0.0005,0.0042
fremdsprache,25,0.0004,0.0012,0.0004,0.0372,0.0006,0.0002,0.0005,0.0139,0.0002,0.0011,0.0005,0.0002
