term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
kulturell,70,0.0515,0.0017,0.0408,0.0102,0.0023,0.0306,0.0181,0.0351,0.0005,0.0016,0.0007,0.0002,0.0007,0.008,0.0289
politisch,56,0.0297,0.0017,0.0002,0.0114,0.0023,0.0901,0.0002,0.0003,0.0005,0.0014,0.0129,0.0171,0.0431,0.0759,0.0205
lernen,49,0.0004,0.0021,0.0003,0.0045,0.0023,0.0002,0.0001,0.0357,0.083,0.0014,0.0006,0.0151,0.0008,0.0005,0.0668
unterschiedlich,41,0.0003,0.0019,0.0003,0.0002,0.0024,0.0237,0.0001,0.0003,0.0252,0.0014,0.0006,0.0553,0.0155,0.0005,0.0289
sozial,39,0.0003,0.0017,0.0284,0.0003,0.0023,0.0304,0.0001,0.0003,0.0005,0.0014,0.0703,0.0073,0.0008,0.0553,0.0003
sinn,38,0.0239,0.0018,0.0003,0.0003,0.0023,0.0673,0.0001,0.0376,0.0004,0.0014,0.0006,0.0002,0.0007,0.0005,0.0003
entwickeln,37,0.0003,0.0328,0.0002,0.0003,0.0024,0.0002,0.0315,0.0003,0.027,0.0385,0.0006,0.0175,0.013,0.0005,0.0003
position,36,0.0004,0.0031,0.0002,0.0003,0.0024,0.0036,0.0161,0.0003,0.0495,0.0014,0.0006,0.0069,0.0008,0.0836,0.0003
empathie,34,0.0003,0.0019,0.0002,0.0002,0.0577,0.0002,0.0119,0.0003,0.0287,0.0014,0.0351,0.0236,0.0209,0.0079,0.0003
fähigkeit,33,0.0003,0.0018,0.0008,0.0386,0.0023,0.0002,0.0001,0.0003,0.0272,0.0014,0.0135,0.035,0.0007,0.0005,0.0003
mensch,32,0.0003,0.0018,0.0002,0.0063,0.0025,0.0206,0.0001,0.0003,0.0005,0.0014,0.0006,0.0245,0.014,0.0043,0.0289
inhalt,31,0.0003,0.0017,0.0116,0.0483,0.0023,0.0002,0.0001,0.0003,0.0004,0.0016,0.0007,0.0071,0.0007,0.0042,0.0299
setzen,29,0.0003,0.0019,0.0092,0.0564,0.0023,0.0002,0.0001,0.0003,0.0285,0.0016,0.0006,0.0002,0.0007,0.0005,0.0003
historisch,28,0.0003,0.0018,0.0414,0.0003,0.0228,0.0002,0.0001,0.0003,0.0004,0.0018,0.0006,0.0003,0.0198,0.0005,0.0087
entwicklung,27,0.0239,0.0018,0.0284,0.0003,0.0031,0.0002,0.0001,0.0003,0.0005,0.0307,0.0187,0.004,0.0419,0.0004,0.0003
verschieden,27,0.0065,0.002,0.0002,0.0002,0.0023,0.0313,0.0001,0.0003,0.0005,0.0014,0.0006,0.0256,0.001,0.0094,0.0003
handeln,26,0.0003,0.0018,0.0002,0.0187,0.0023,0.0002,0.0083,0.0003,0.0004,0.0014,0.0149,0.0137,0.0075,0.0148,0.0003
umgang,26,0.0003,0.0414,0.0047,0.0002,0.0026,0.0002,0.0186,0.0003,0.025,0.0038,0.0006,0.0127,0.0007,0.0004,0.0003
wert,26,0.0113,0.0031,0.0003,0.0002,0.0023,0.0002,0.011,0.0376,0.0004,0.0014,0.0006,0.0059,0.0155,0.008,0.0003
aufgabe,25,0.0004,0.0018,0.0203,0.0002,0.0024,0.0002,0.0046,0.0376,0.0004,0.0014,0.0007,0.0105,0.0007,0.0004,0.0003
auseinandersetzung,25,0.006,0.0018,0.0002,0.0002,0.0023,0.0249,0.018,0.0003,0.0005,0.0014,0.0006,0.0057,0.0007,0.0132,0.0003
fremdsprache,25,0.0003,0.0018,0.0103,0.0359,0.0023,0.0002,0.0001,0.0003,0.0004,0.0016,0.0006,0.0002,0.0007,0.0004,0.0289
perspektive,25,0.0003,0.0018,0.0153,0.0004,0.0025,0.0162,0.0073,0.0003,0.0005,0.0014,0.0284,0.0015,0.0007,0.0005,0.0003
konflikt,24,0.0006,0.0018,0.0216,0.0002,0.0022,0.0317,0.0001,0.0003,0.0005,0.0014,0.0152,0.0121,0.0007,0.0004,0.0003
möglichkeit,24,0.0003,0.0416,0.0002,0.0003,0.0025,0.0375,0.0001,0.0003,0.0005,0.0326,0.0006,0.0048,0.0016,0.017,0.0003
phänomen,24,0.0003,0.0019,0.011,0.027,0.0227,0.0002,0.0001,0.0003,0.0284,0.0016,0.0006,0.0003,0.0007,0.008,0.0003
verstehen,23,0.0004,0.0018,0.0003,0.0002,0.0023,0.0002,0.0208,0.0427,0.0006,0.0015,0.0006,0.0002,0.0007,0.0004,0.0003
