topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,7,0.1109,22,11.4809
2,16,0.0993,18,10.8229
3,17,0.0952,18,22.4203
4,11,0.0945,18,25.2672
5,4,0.0944,16,11.6568
6,15,0.0817,17,21.6471
7,12,0.0649,11,14.6047
8,18,0.0623,12,17.3344
9,14,0.061,12,26.3638
10,8,0.0547,10,11.7171
11,13,0.048,10,16.187
12,1,0.0304,6,14.0544
13,2,0.0226,4,17.8154
14,5,0.0198,3,30.157
15,19,0.0184,3,15.4014
16,3,0.0139,2,11.8056
17,9,0.0133,2,28.179
18,20,0.008,1,17.4604
19,10,0.0032,0,1.3765
20,6,0.0032,0,2.5941
