term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15,Topic_16,Topic_17,Topic_18,Topic_19,Topic_20
kulturell,70,0.0009,0.0014,0.0021,0.0338,0.0013,0.0066,0.0203,0.0358,0.002,0.004,0.0267,0.0003,0.0007,0.0108,0.0004,0.0365,0.0154,0.0006,0.0019,0.0026
politisch,56,0.0009,0.0014,0.0016,0.0338,0.0013,0.0091,0.0002,0.0002,0.0022,0.0048,0.0883,0.0004,0.0433,0.0005,0.0004,0.0002,0.0157,0.0606,0.0016,0.0026
lernen,49,0.0209,0.0016,0.0016,0.0001,0.0013,0.0032,0.0001,0.0388,0.0019,0.0034,0.0001,0.0003,0.0006,0.0127,0.0005,0.0002,0.0784,0.0004,0.0021,0.0028
unterschiedlich,41,0.0252,0.0015,0.0016,0.0108,0.0014,0.0062,0.0001,0.0003,0.0018,0.0037,0.0198,0.0511,0.0285,0.0005,0.0004,0.0004,0.0352,0.0115,0.0193,0.0026
sozial,39,0.0009,0.0014,0.0018,0.0002,0.0013,0.006,0.0001,0.0002,0.0017,0.0037,0.0544,0.0003,0.0006,0.0109,0.0313,0.0275,0.0001,0.0005,0.0017,0.0026
sinn,38,0.0009,0.0014,0.0204,0.012,0.0013,0.0082,0.0001,0.0357,0.0017,0.0037,0.0453,0.0003,0.0006,0.0005,0.0004,0.0002,0.0001,0.0424,0.0019,0.0027
entwickeln,37,0.0336,0.0404,0.0195,0.0001,0.0046,0.0033,0.0401,0.0003,0.0017,0.0033,0.0002,0.0084,0.0022,0.0005,0.0005,0.0002,0.0174,0.0004,0.0191,0.0032
position,36,0.0009,0.017,0.0016,0.0023,0.0014,0.0032,0.0239,0.0002,0.0017,0.0037,0.0137,0.0003,0.0006,0.0005,0.0004,0.0002,0.0195,0.0488,0.0017,0.0029
empathie,34,0.0009,0.0014,0.0016,0.0002,0.0015,0.0033,0.0149,0.0003,0.0018,0.0034,0.0048,0.0005,0.0302,0.0008,0.0757,0.0002,0.0175,0.0004,0.0018,0.0029
fähigkeit,33,0.0009,0.0014,0.0374,0.0408,0.0014,0.0032,0.0042,0.0002,0.0017,0.0037,0.0084,0.0018,0.0006,0.0005,0.0004,0.0006,0.0135,0.0164,0.0019,0.0026
