term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
perspektivwechsel,129,0.0475,0.0403,0.0102,0.032,0.0092,0.034,0.0319
kulturell,70,0.0004,0.0093,0.0141,0.0301,0.0075,0.0363,0.0174
politisch,56,0.0004,0.0197,0.0004,0.0002,0.0112,0.0767,0.0148
perspektivenwechsel,50,0.0172,0.0134,0.0149,0.0003,0.0379,0.0002,0.0004
lernen,49,0.0081,0.0002,0.0004,0.0139,0.0234,0.0002,0.0517
reflektieren,49,0.0299,0.0069,0.0004,0.0149,0.0148,0.023,0.0004
thema,49,0.0004,0.0081,0.042,0.0154,0.0106,0.0002,0.0004
unterschiedlich,41,0.006,0.006,0.0147,0.0002,0.022,0.0158,0.0269
sozial,39,0.0005,0.0312,0.0004,0.0003,0.0002,0.0212,0.0042
sinn,38,0.0069,0.0002,0.0004,0.0138,0.0004,0.0512,0.0004
entwickeln,37,0.0149,0.0241,0.0045,0.0002,0.0074,0.0002,0.0004
position,36,0.0023,0.0205,0.0004,0.0002,0.0254,0.0003,0.0004
empathie,34,0.0005,0.0241,0.0005,0.0002,0.0073,0.0002,0.0099
fähigkeit,33,0.0004,0.0079,0.0004,0.0002,0.0425,0.0002,0.0004
unterricht,33,0.0004,0.0033,0.0004,0.0283,0.0002,0.0078,0.0174
mensch,32,0.0352,0.0004,0.0006,0.0002,0.0004,0.0148,0.0222
inhalt,31,0.0004,0.0011,0.0156,0.0002,0.0259,0.0002,0.0189
lernende,30,0.0004,0.0139,0.0004,0.0002,0.0002,0.0003,0.0374
setzen,29,0.0004,0.0002,0.014,0.0002,0.0333,0.0002,0.0004
historisch,28,0.0004,0.0054,0.0305,0.0002,0.0003,0.0002,0.007
entwicklung,27,0.0105,0.0155,0.0004,0.0002,0.0027,0.0078,0.0004
verschieden,27,0.0105,0.0043,0.0085,0.0002,0.0065,0.0189,0.0038
handeln,26,0.0344,0.0102,0.0004,0.0002,0.0002,0.0002,0.0004
umgang,26,0.019,0.0021,0.0004,0.0162,0.007,0.0002,0.0004
wert,26,0.0023,0.0116,0.0004,0.0179,0.0002,0.0002,0.0004
aufgabe,25,0.0004,0.0075,0.0153,0.0146,0.0002,0.0002,0.0037
auseinandersetzung,25,0.0024,0.0041,0.0004,0.0157,0.0002,0.0169,0.0037
fremdsprache,25,0.0004,0.0002,0.014,0.0002,0.0158,0.0002,0.0174
perspektive,25,0.0005,0.0103,0.0116,0.0002,0.0002,0.0102,0.0004
konflikt,24,0.0004,0.019,0.0004,0.0002,0.0002,0.0168,0.0004
möglichkeit,24,0.0086,0.0071,0.0005,0.0002,0.0003,0.024,0.0004
phänomen,24,0.0006,0.0002,0.016,0.0003,0.021,0.0002,0.0004
verstehen,23,0.0004,0.0002,0.0004,0.0338,0.0003,0.0002,0.0004
inhaltlich,22,0.0004,0.0075,0.014,0.0002,0.0002,0.0002,0.0174
kenntnis,22,0.0053,0.0053,0.015,0.0002,0.0003,0.0002,0.0056
wahrnehmung,22,0.0154,0.0002,0.0004,0.0155,0.0059,0.0002,0.0004
beschreiben,20,0.0205,0.0002,0.0004,0.0164,0.0029,0.0002,0.0004
welt,20,0.0122,0.003,0.0004,0.0002,0.0214,0.0002,0.0004
betrachten,19,0.0004,0.0105,0.014,0.0002,0.0002,0.0002,0.0004
global,19,0.0004,0.0159,0.0004,0.0002,0.0002,0.0002,0.0004
kommunikation,19,0.0004,0.0002,0.0191,0.0002,0.0142,0.0002,0.0004
naturwissenschaftlich,19,0.0004,0.0031,0.0253,0.0002,0.0002,0.0002,0.0004
nehmen,19,0.0004,0.0002,0.0147,0.0002,0.0197,0.0002,0.0004
vertreten,19,0.0005,0.0084,0.0004,0.0002,0.0003,0.0285,0.0004
zielen,19,0.0004,0.0002,0.0004,0.0273,0.0002,0.0002,0.0004
begreifen,18,0.0041,0.0002,0.014,0.0002,0.0142,0.0002,0.0004
fach,18,0.0004,0.0002,0.0004,0.0002,0.0002,0.0002,0.0513
sprachlich,18,0.0041,0.0002,0.014,0.0002,0.0142,0.0002,0.0004
vielfalt,18,0.0004,0.0008,0.0004,0.0162,0.0002,0.0078,0.0004
kompetenzerwartunge,17,0.0004,0.0002,0.0156,0.0002,0.0118,0.0025,0.0004
kritisch,16,0.0004,0.0061,0.0004,0.0002,0.0162,0.0002,0.0004
medium,16,0.0004,0.0002,0.0055,0.0002,0.003,0.0003,0.0266
analysieren,15,0.0191,0.0054,0.0004,0.0002,0.0031,0.0002,0.0004
aufgeführt,15,0.0004,0.0002,0.014,0.0002,0.0117,0.0002,0.0004
bne,15,0.0004,0.0132,0.0004,0.0002,0.0002,0.0002,0.0004
denken,15,0.0084,0.0002,0.0005,0.0162,0.0002,0.0002,0.0004
fachlich,15,0.0004,0.0002,0.0055,0.0162,0.0002,0.0002,0.0004
formulieren,15,0.0005,0.0004,0.0004,0.0002,0.0035,0.0276,0.0004
lernbereich,15,0.0006,0.0138,0.0005,0.0002,0.0006,0.0002,0.0004
toleranz,15,0.0004,0.016,0.0004,0.0002,0.0002,0.0002,0.0004
leben,14,0.0224,0.0002,0.0004,0.0002,0.0007,0.0046,0.0004
miteinander,14,0.0041,0.0002,0.0004,0.0162,0.0003,0.0002,0.0004
sozialkompetenz,14,0.0307,0.0002,0.0004,0.0002,0.0008,0.0002,0.0004
austausch,13,0.0004,0.0002,0.0004,0.0172,0.0002,0.0002,0.0004
bereiten,13,0.0041,0.0002,0.0004,0.0002,0.0068,0.0002,0.0174
hinterfragen,13,0.0026,0.0002,0.0055,0.0002,0.0136,0.0002,0.0004
international,13,0.0005,0.0137,0.0004,0.0002,0.0002,0.0002,0.0005
norm,13,0.0004,0.0002,0.0004,0.0174,0.0029,0.0002,0.0004
