document_id,most_prevalent_topic_id,most_prevalent_topic_probability,text_excerpt,state,school type,grade,year,subject
0,4,0.9699993894143015,"Kirchen internationale Hilfsaktionen in Katastrophenfällen diskutieren Beispiele von Verletzungen der Menschenrechte, u.a. an den Beispielen Mobbing und Kinderarbeit. Menschenrechtsverletzungen, z. B. physische und psychische Misshandlungen, Formen von Diskriminierung z. B. Rassismus, Mobbing, Folter, Todesstrafe Güterabwägung bei Produkten von Kinderarbeit ... Grundbegriffe: Grundbedürfnisse, Menschenrechte, Menschenwürde, Mobbing Inhaltsbezogener Kompetenzbereich: Fragen nach Orientierungsmöglichkeiten Leitthema: Leben in religiös und weltanschaulich geprägten Kulturen Erwartete Kompetenzen am",Niedersachsen,Oberschule.pdf,,,"Ethik, Philo"
1,7,0.8402484981627633,"Kampf der Kulturen des amerikanischen Politikwissenschaftlers Samuel P. Huntington. Projekt: Gestalten eines RadioFeatures/Videos zum Thema Kein Platz für fremde Kulturen Handeln Ausrichten eines interkulturellen Festes der Schulgemeinschaft Projekt Schule ohne Rassismus Hinweis s. Themen Menschenwürde als ethische Leitidee, Religion und Gesellschaft Sein: Ich und die anderen In Gemeinschaft leben Ethik / Medien - andere Welten Die Jugendlichen der heutigen Zeit wachsen",Saarland,GemS,"9,10",2018.0,"Ethik, Philo"
2,9,0.5653711157197229,bei Festnahmen von Demonstranten durch die Polizei Sein: Ich und die anderen In Gemeinschaft leben Ethik / Gewalt und Gewaltverzicht inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Handeln Durchführen des Projektes Schule ohne Rassismus - Schule mit Courage Unterrichtsgang zu einer Gerichtsverhandlung Strafverfahren Hinweis s. Thema Demokratie und Werte im Lehrplan Sozialkunde / Sein: Die Welt Kultur Ethik / Wissenschaft und Technik In den,Saarland,GemS,"9,10",2018.0,"Ethik, Philo"
3,9,0.456865093743664,"Geschichten Empathie und Perspektivwechsel Übertragen der Kenntnisse über Vorurteile auf das Beispiel der Judenverfolgung Der schwarze Tod, Ritualmordlegenden Vertreibung der Juden aus Europa Antijudaismus, Antisemitismus Massenmord an Juden: Shoa, Holocaust Rassismus Grundgesetz Artikel Richter: Damals war es Friedrich Dokumentationen LB LB GE, Kl. , LB Werteorientierung Wahlbereich : Gerechtigkeit in der Schule Kennen von Problemen der Gerechtigkeit in der Schule Fairness",Sachsen,Gym,,2019.0,"Ethik, Philo"
4,4,0.9639995932908979,"Watch Briefaktionen von Amnesty International, internationale Hilfsaktionen in Katastrophenfällen diskutieren Beispiele von Verletzungen der Menschenrechte unter ethischen Gesichtspunkten. Menschenrechtsverletzungen, z. B. physische und psychische Misshandlungen, Formen von Diskriminierung z. B. Rassismus, Todesstrafe Problematisierung der Abgrenzung zwischen Menschenrechtsverletzungen und Regelverstößen Güterabwägung bei Produkten von Kinderarbeit Rechtfertigung der Folter zugunsten der Rettung Unschuldiger - Verwirklichung der Menschenwürde für Schwerverbrecher ... Grundbegriffe: Grundbedürfnisse, Menschenrechte,",Niedersachsen,Gesamtschule,,2017.0,"Ethik, Philo"
5,4,0.9639995932908979,"Watch Briefaktionen von Amnesty International, internationale Hilfsaktionen in Katastrophenfällen diskutieren Beispiele von Verletzungen der Menschenrechte unter ethischen Gesichtspunkten. Menschenrechtsverletzungen, z. B. physische und psychische Misshandlungen, Formen von Diskriminierung z. B. Rassismus, Todesstrafe Problematisierung der Abgrenzung zwischen Menschenrechtsverletzungen und Regelverstößen Güterabwägung bei Produkten von Kinderarbeit Rechtfertigung der Folter zugunsten der Rettung Unschuldiger - Verwirklichung der Menschenwürde für Schwerverbrecher ... Grundbegriffe: Grundbedürfnisse, Menschenrechte,",Niedersachsen,Gym,Sek1,2017.0,"Ethik, Philo"
6,4,0.968964862696225,"Watch, Kirchen internationale Hilfsaktionen in Katastrophenfällen diskutieren Beispiele von Verletzungen der Menschenrechte, u.a. am Beispiel Mobbing und Kinderarbeit. Menschenrechtsverletzungen, z. B. physische und psychische Misshandlungen, Formen von Diskriminierung z. B. Rassismus, Mobbing, Folter, Todesstrafe Güterabwägung bei Produkten von Kinderarbeit ... Grundbegriffe: Grundbedürfnisse, Menschenrechte, Menschenwürde, Mobbing Inhaltsbezogener Kompetenzbereich: Fragen nach Orientierungsmöglichkeiten Leitthema: Leben in religiös und weltanschaulich geprägten Kulturen Erwartete Kompetenzen am",Niedersachsen,Realschule,,2018.0,"Ethik, Philo"
7,7,0.943736714503466,Kampf der Kulturen des amerikanischen Politikwissenschaftlers Samuel P. Huntington. Projekt: Gestalten eines RadioFeatures/Videos zum Thema Kein Platz für fremde Kulturen Handeln Ausrichten eines interkulturellen Festes der Schulgemeinschaft Projekt Schule ohne Rassismus Hinweis s. Thema Religion und Gesellschaft Sein: Ich und die anderen In Gemeinschaft leben Ethik Medien - andere Welten Die Jugendlichen der heutigen Zeit wachsen wie keine Generation zuvor mit,Saarland,Gym,9,2018.0,"Ethik, Philo"
8,1,0.580092949013939,B. bei Festnahmen von Demonstranten durch die Polizei Sein: Ich und die anderen In Gemeinschaft leben Ethik Gewalt und Gewaltverzicht inhaltsbezogene Kompetenzen methodisch-didaktische Hinweise Handeln Durchführen des Projektes Schule ohne Rassismus - Schule mit Courage Unterrichtsgang zu einer Gerichtsverhandlung Strafverfahren Sein: Die Welt Kultur Ethik Wissenschaft und Technik In den Schulen wird für die jungen Menschen vielerorts eine dezidiert naturwissenschaftlichtechnische Orientierung,Saarland,Gym,9,2018.0,"Ethik, Philo"
9,9,0.9181679364507331,"schulischer Verhältnisse im Sinne des just community-Gedankens in einem Projekt z. B. in Form einer Zukunftswerkstatt, das die gesamte Schulgemeinschaft einschließt Beteiligung an einem StreitschlichterProjekt Beteiligung am Projekt Schule ohne Rassismus - Schule mit Courage Sollen: Moralisches Handeln Werte und Normen Ethik / Rechte und Pflichten Jugendliche nehmen sich selbst in steigendem Maße als aktives Subjekt in der Gesellschaft wahr und",Saarland,GemS,"7,8",2018.0,"Ethik, Philo"
10,4,0.968964862696225,"Kirchen internationale Hilfsaktionen in Katastrophenfällen diskutieren Beispiele von Verletzungen der Menschenrechte, u. a. am Beispiel Mobbing und Kinderarbeit. Menschenrechtsverletzungen, z. B. physische und psychische Misshandlungen, Formen von Diskriminierung z. B. Rassismus, Mobbing, Folter, Todesstrafe Güterabwägung bei Produkten von Kinderarbeit ... Grundbegriffe: Grundbedürfnisse, Menschenrechte, Menschenwürde, Mobbing Inhaltsbezogener Kompetenzbereich: Fragen nach Orientierungsmöglichkeiten Leitthema: Leben in religiös und weltanschaulich geprägten Kulturen Erwartete Kompetenzen am",Niedersachsen,Hauptschule,,2018.0,"Ethik, Philo"
11,9,0.9181679364507331,"schulischer Verhältnisse im Sinne des just community-Gedankens in einem Projekt z. B. in Form einer Zukunftswerkstatt, das die gesamte Schulgemeinschaft einschließt Beteiligung an einem StreitschlichterProjekt Beteiligung am Projekt Schule ohne Rassismus - Schule mit Courage Sollen: Moralisches Handeln Werte und Normen Ethik / Rechte und Pflichten Jugendliche nehmen sich selbst in steigendem Maße als aktives Subjekt in der Gesellschaft wahr und",Saarland,Gym,"7,8",2018.0,"Ethik, Philo"
12,8,0.4626896318228859,"Flucht in Drogen, Kriminalität, Persönlichkeitseinengung : Auswahlthema: Vorurteil und Aggression :: - Ursachen von Vorurteilen z.B. individual- und sozialpsychologische Ursachen, politisch-gesellschaftliche Ursachen, historische Ursachen - Verschiedene Formen von Vomrteilen z.B rassistische, nationalistische, gesellschaftliche, religiöse, ideologische Vorurteile Korrelation zwischen Vorurteil und Aggression am Beispiel: Antisemitismus Geschichte des Antisemitismus, Hintergründe antisemitistischer Maßnahmen, Judenprogrom und Judenvernichtung oder am Beispiel: .. Schwarz und Weiß .,",Rheinland-Pfalz,,Sek2,1983.0,"Ethik, Philo"
13,1,0.43953703309280456,"für Mensch und Umwelt als grundlegendes handlungsleitendes Prinzip und diskutieren Erfahrungen der Wirkmächtigkeit eigener Aktivitäten. Sie reflektieren auch Argumente für das Eintreten für Ziele der Agenda Kompetenzen Fachbegriffe Würde, Rechte, Rassismus, Sexismus, Speziesismus Fachinterne Bezüge , PM Das Selbstverständnis des Menschen , WM Wissen, Wissenschaft, Skeptizismus , PM Brücken in eine friedliche Zukunft , WM Fortschrittsglaube und Fortschrittspessimismus bleibt zunächst leer",Hamburg,,Studienstufe,2022.0,"Ethik, Philo"
14,5,0.4915793108353391,"einem Einverständnis enden Wie geht unsere Gesellschaft mit Vielfalt um z. B. in ethnischer, kultureller, sozialer, religiöser, weltanschaulicher, politischer oder sexueller Hinsicht Wie können Konflikte gewaltfrei gelöst werden Wie entstehen Rassismus, Antisemitismus, Islamophobie Und was kann man dagegen tun Was soll die Gesellschaft für Menschen mit Einschränkungen tun Toleranz Aufklärung Nächstenliebe, Feindesliebe Religionen Würde und Respekt I. Kant, G. P. della",Berlin,,7-10,2015.0,"Ethik, Philo"
15,1,0.5551421101075288,"Menschenwürde Allgemeine Ethik Einführungsphase Inhaltsbezogene Kompetenzen Konkretisierungen und Hinweise Menschenwürde Die Schülerinnen und Schüler beschreiben und problematisieren Wertzuschreibungen zu Menschen, z. B. anhand der Diskussionen um die Triage und den Rassismus Black Lives Matter Gedankenexperiment: Die Kursteilnehmerinnen und Teilnehmer müssen einen aus ihrer Mitte opfern, damit die restlichen überleben das fordern irrationale Geiselnehmer s. auch Film The Philosophers - Wer überlebt:",Saarland,Gym,Sek2,2020.0,"Ethik, Philo"
