term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
nationalsozialismus,58,0.0244,0.0049,0.0004,0.0013,0.001,0.1369,0.0003,0.0002,0.0286,0.0021
antisemitismus,45,0.0003,0.0044,0.0004,0.0011,0.0243,0.0596,0.0163,0.0208,0.0423,0.02
politisch,39,0.013,0.0044,0.0033,0.0012,0.0119,0.0006,0.0578,0.0002,0.0019,0.002
demokratie,35,0.03,0.0045,0.0004,0.0012,0.0013,0.011,0.0004,0.0198,0.0616,0.03
gesellschaftlich,33,0.0003,0.0043,0.0904,0.0011,0.0256,0.0007,0.0081,0.024,0.0003,0.0199
ideologisch,31,0.0051,0.0045,0.0004,0.0011,0.0013,0.0351,0.0121,0.0002,0.0068,0.002
nationalsozialistisch,28,0.0003,0.0043,0.0004,0.0012,0.0622,0.01,0.0003,0.0002,0.0121,0.0021
analysieren,26,0.0004,0.0047,0.0004,0.0011,0.001,0.0136,0.0142,0.0002,0.0103,0.0198
bewert,25,0.0003,0.0047,0.0004,0.0011,0.001,0.0377,0.0003,0.0002,0.0129,0.0021
imperialismus,24,0.0003,0.0046,0.0004,0.0011,0.001,0.0006,0.0003,0.0002,0.0262,0.002
rassistisch,24,0.0113,0.0044,0.0004,0.0011,0.01,0.0006,0.0086,0.0241,0.0003,0.002
grundlage,23,0.0003,0.0043,0.0017,0.0012,0.0187,0.0331,0.0003,0.0002,0.0074,0.0021
ideologie,23,0.0003,0.0044,0.0006,0.0012,0.0456,0.0181,0.0095,0.0002,0.0002,0.002
charakterisieren,22,0.0003,0.0044,0.0004,0.0011,0.0011,0.0335,0.0003,0.0002,0.0113,0.0021
form,22,0.0003,0.0043,0.0004,0.0316,0.0011,0.0092,0.0045,0.0002,0.031,0.002
projekt,22,0.0009,0.0046,0.0004,0.0011,0.0011,0.0006,0.006,0.0055,0.0129,0.002
thema,22,0.0013,0.0046,0.0018,0.0011,0.0041,0.0179,0.0062,0.003,0.0056,0.0134
europa,21,0.0004,0.0046,0.0004,0.0012,0.0071,0.0429,0.0003,0.0212,0.0009,0.002
ursache,21,0.0377,0.0044,0.0004,0.0011,0.0011,0.0006,0.0003,0.0222,0.0043,0.002
volksgemeinschaft,21,0.0003,0.0045,0.0004,0.0011,0.01,0.046,0.0003,0.0002,0.0032,0.002
weltkrieg,21,0.0004,0.0047,0.0004,0.0012,0.0011,0.0138,0.0003,0.0002,0.0377,0.002
mensch,20,0.0367,0.0044,0.0004,0.0012,0.0072,0.0006,0.0046,0.0002,0.0044,0.002
historisch,19,0.0076,0.0044,0.0004,0.0011,0.0012,0.0006,0.0003,0.0648,0.0003,0.002
menschenrecht,19,0.0025,0.0043,0.0004,0.0522,0.001,0.0006,0.0003,0.0002,0.0081,0.002
demokratisch,18,0.0274,0.0043,0.0004,0.0011,0.0239,0.0006,0.0003,0.0002,0.0004,0.0809
diktatur,18,0.0003,0.0045,0.0004,0.0011,0.0012,0.0144,0.0112,0.0002,0.0259,0.002
inhalt,18,0.0003,0.0045,0.0006,0.0012,0.012,0.001,0.0295,0.0044,0.0092,0.002
kompetenz,18,0.032,0.0044,0.0458,0.0183,0.001,0.0006,0.0003,0.0002,0.0004,0.0021
denken,17,0.0003,0.0043,0.0004,0.0011,0.001,0.009,0.0196,0.0002,0.0003,0.0021
führerprinzip,17,0.0003,0.0045,0.0004,0.0011,0.01,0.0424,0.0003,0.0002,0.0002,0.002
sozialdarwinismus,17,0.0003,0.0044,0.0005,0.0011,0.0107,0.0217,0.0003,0.0003,0.008,0.0021
welt,17,0.001,0.0043,0.0004,0.0011,0.001,0.0006,0.0032,0.0002,0.0157,0.002
deutschland,16,0.0003,0.0043,0.0005,0.0011,0.006,0.0006,0.0032,0.0002,0.0341,0.002
diskriminierung,16,0.0003,0.0043,0.0463,0.0283,0.001,0.0007,0.0003,0.0385,0.0002,0.002
gesellschaft,16,0.0003,0.0043,0.0004,0.0012,0.0377,0.0006,0.0081,0.0002,0.0026,0.0019
international,16,0.0335,0.0044,0.0004,0.0368,0.001,0.0006,0.0003,0.0002,0.0002,0.002
umgang,16,0.0003,0.0044,0.0481,0.0011,0.0012,0.0006,0.0003,0.0218,0.0019,0.02
widerstand,16,0.0003,0.0044,0.0004,0.0012,0.01,0.0006,0.0045,0.0002,0.0321,0.0019
herrschaft,15,0.0003,0.0047,0.0004,0.0011,0.01,0.0276,0.0045,0.0002,0.0006,0.002
krieg,15,0.0321,0.0045,0.0004,0.0011,0.001,0.0006,0.0103,0.0002,0.0003,0.002
sozial,15,0.0048,0.0043,0.0126,0.0012,0.0148,0.0016,0.0003,0.0003,0.0002,0.0111
weltdeutung,15,0.0003,0.0045,0.0004,0.0011,0.0212,0.0284,0.001,0.0002,0.0003,0.0021
bezug,14,0.0247,0.0044,0.0552,0.0012,0.001,0.0011,0.0003,0.0002,0.0002,0.0024
möglichkeit,14,0.0003,0.0045,0.0009,0.0011,0.001,0.0006,0.0003,0.0002,0.0289,0.0532
unterschiedlich,14,0.0063,0.0044,0.0005,0.0012,0.001,0.0006,0.0127,0.0002,0.0003,0.0019
versus,14,0.0003,0.0043,0.0004,0.0011,0.001,0.0006,0.0003,0.1182,0.0002,0.002
geschichte,13,0.0077,0.0043,0.0071,0.0011,0.0014,0.0006,0.0003,0.0003,0.0034,0.002
holocaust,13,0.0003,0.0044,0.0004,0.0012,0.01,0.0006,0.0003,0.0002,0.0321,0.0022
lebensraum,13,0.0003,0.0045,0.0004,0.0011,0.01,0.0257,0.0004,0.0021,0.0002,0.002
stereotyp,13,0.0003,0.0044,0.0004,0.0011,0.001,0.0034,0.0114,0.0196,0.0024,0.002
deutsch,12,0.0003,0.0043,0.0005,0.0011,0.0351,0.0006,0.0022,0.0002,0.0013,0.0198
extremismus,12,0.0003,0.0044,0.0004,0.0011,0.001,0.0006,0.0157,0.0002,0.0212,0.002
grundgesetz,12,0.0338,0.0044,0.0004,0.0011,0.0011,0.0006,0.0003,0.0002,0.0005,0.0253
hinblick,12,0.0003,0.0044,0.0004,0.0011,0.001,0.0006,0.017,0.0002,0.0002,0.002
perspektive,12,0.004,0.0045,0.0004,0.0011,0.0096,0.0006,0.0003,0.0592,0.0002,0.002
religiös,12,0.011,0.0046,0.0004,0.0165,0.001,0.0006,0.0003,0.0003,0.0002,0.0019
wert,12,0.0006,0.0044,0.0406,0.0011,0.0017,0.0006,0.0003,0.0002,0.0085,0.002
zwischenkriegszeit,12,0.0003,0.0045,0.0004,0.0011,0.001,0.034,0.0003,0.0002,0.0003,0.0021
jahrhundert,11,0.0003,0.0045,0.0004,0.0011,0.001,0.0007,0.0047,0.0002,0.0074,0.0125
ermitteln,10,0.0003,0.0043,0.0004,0.0012,0.001,0.0006,0.0142,0.0002,0.0002,0.002
errichtung,10,0.0003,0.0043,0.0004,0.0011,0.001,0.001,0.0098,0.0002,0.0235,0.002
heutig,10,0.0003,0.0044,0.0004,0.0011,0.001,0.0006,0.0031,0.0601,0.0002,0.002
migration,10,0.0305,0.0044,0.0004,0.0011,0.0012,0.0006,0.0003,0.021,0.0003,0.0019
ökonomisch,10,0.033,0.0045,0.0004,0.0011,0.0075,0.0006,0.0003,0.0002,0.0002,0.002
aspekt,9,0.0003,0.0044,0.0005,0.0011,0.0153,0.0006,0.0051,0.0022,0.0005,0.002
ausgrenzung,9,0.0003,0.0044,0.0005,0.0012,0.01,0.0034,0.0003,0.0002,0.0045,0.0198
beispiel,9,0.0003,0.0044,0.0004,0.0464,0.001,0.0006,0.0004,0.0002,0.0003,0.002
beurteilen,9,0.0006,0.0045,0.0008,0.0012,0.001,0.0006,0.003,0.0002,0.0074,0.002
kulturell,9,0.0511,0.0044,0.0406,0.0011,0.001,0.0006,0.0003,0.0003,0.0002,0.002
menschenwürde,9,0.0003,0.0043,0.0004,0.0458,0.001,0.0007,0.0006,0.0002,0.0003,0.002
nsdiktatur,9,0.0003,0.0043,0.0004,0.0011,0.001,0.0006,0.0086,0.0002,0.0436,0.002
ziel,9,0.0061,0.0045,0.0004,0.0012,0.0136,0.0006,0.0003,0.0002,0.0003,0.0139
diskutieren,8,0.0003,0.0043,0.0011,0.0298,0.001,0.0006,0.0003,0.0002,0.0002,0.0199
engagement,8,0.0255,0.0043,0.0004,0.0011,0.001,0.0006,0.0003,0.0205,0.0003,0.0254
ethnozentrismen,8,0.0003,0.0043,0.0004,0.0011,0.001,0.0006,0.0114,0.0002,0.0002,0.002
gewalt,8,0.0259,0.0043,0.0004,0.0011,0.001,0.0006,0.0003,0.0002,0.026,0.0019
grundlegend,8,0.0003,0.0046,0.0004,0.0012,0.001,0.0007,0.0003,0.0002,0.0056,0.0284
gruppe,8,0.0003,0.0043,0.0406,0.0011,0.0011,0.0006,0.0003,0.0215,0.0003,0.002
kinderarbeit,8,0.0003,0.0042,0.0004,0.042,0.001,0.0006,0.0003,0.0002,0.0002,0.002
lernen,8,0.0018,0.0043,0.0004,0.0012,0.0261,0.0006,0.0003,0.0002,0.0003,0.0109
maßnahme,8,0.0003,0.0043,0.0041,0.0011,0.001,0.0006,0.0003,0.0233,0.0002,0.002
motiv,8,0.0054,0.0046,0.0004,0.0011,0.001,0.0006,0.0003,0.0002,0.0043,0.0021
reich,8,0.0003,0.0044,0.0004,0.0012,0.0317,0.0006,0.0019,0.0002,0.0002,0.002
sozialisation,8,0.0003,0.0043,0.1112,0.0011,0.001,0.0007,0.0003,0.0193,0.0002,0.0021
theorie,8,0.0003,0.0044,0.0004,0.0011,0.001,0.0006,0.037,0.0002,0.0003,0.0019
typisch,8,0.0003,0.0043,0.0004,0.0012,0.001,0.0006,0.0114,0.0002,0.0002,0.002
versatzstück,8,0.0003,0.0043,0.0004,0.0011,0.001,0.0006,0.0114,0.0002,0.0002,0.002
analyse,7,0.0027,0.0044,0.0004,0.0011,0.001,0.0006,0.0579,0.0002,0.0009,0.002
diversität,7,0.0239,0.0044,0.0394,0.0011,0.001,0.0007,0.0003,0.0203,0.0002,0.0019
gegner,7,0.0003,0.0043,0.0004,0.0011,0.001,0.0006,0.0356,0.0002,0.0003,0.002
integration,7,0.0003,0.0044,0.0065,0.0012,0.0077,0.0006,0.0004,0.0021,0.0002,0.002
lernziel,7,0.0003,0.0043,0.0004,0.0011,0.0214,0.0006,0.0014,0.0002,0.0021,0.002
menschenrechtsverletzung,7,0.0003,0.0044,0.0004,0.0369,0.001,0.0006,0.0003,0.0002,0.0002,0.002
nationalismus,7,0.0003,0.0043,0.0004,0.0011,0.001,0.0006,0.0286,0.0002,0.0058,0.0021
nsideologie,7,0.0003,0.0045,0.0004,0.0011,0.001,0.0006,0.0086,0.0002,0.0214,0.002
ordnung,7,0.0003,0.0045,0.0004,0.0012,0.001,0.0006,0.01,0.0002,0.0003,0.002
partizipation,7,0.0003,0.0043,0.0458,0.0011,0.0011,0.0006,0.0003,0.0002,0.0003,0.002
verschieden,7,0.0003,0.0043,0.0388,0.0011,0.0014,0.0006,0.0003,0.0023,0.0223,0.002
weimarer,7,0.0003,0.0045,0.0006,0.0012,0.001,0.0115,0.0003,0.0002,0.0035,0.002
arbeitsmigration,6,0.0003,0.0044,0.0004,0.0012,0.001,0.0006,0.0003,0.0408,0.0002,0.0019
auseinandersetzung,6,0.0003,0.0044,0.0004,0.0012,0.0032,0.0006,0.0003,0.0002,0.0463,0.002
auswirkung,6,0.025,0.0043,0.0004,0.0011,0.01,0.0006,0.0003,0.0196,0.0003,0.002
betroffener,6,0.0275,0.0043,0.0004,0.0011,0.001,0.0006,0.0003,0.0196,0.0002,0.002
emanzipation,6,0.0003,0.0043,0.0388,0.0012,0.001,0.0006,0.0003,0.0002,0.0035,0.0022
frieden,6,0.0523,0.0044,0.0004,0.0011,0.001,0.0006,0.0003,0.0002,0.0002,0.002
gegenwärtig,6,0.0003,0.0045,0.0004,0.0012,0.0185,0.0006,0.0005,0.0002,0.0024,0.002
gerechtigkeit,6,0.0003,0.0043,0.0386,0.0011,0.0019,0.0006,0.0003,0.0205,0.0002,0.002
grenze,6,0.0003,0.0044,0.0022,0.0011,0.022,0.0006,0.0003,0.0003,0.0005,0.002
grundbegriff,6,0.0003,0.0043,0.0004,0.0315,0.001,0.0006,0.0003,0.0002,0.0003,0.002
medium,6,0.0003,0.0044,0.0033,0.0012,0.001,0.0006,0.0031,0.0002,0.0002,0.0231
osten,6,0.0016,0.0045,0.0004,0.0011,0.001,0.014,0.0003,0.0002,0.0003,0.002
populismus,6,0.0011,0.0043,0.0004,0.0011,0.0153,0.0006,0.0003,0.0002,0.0005,0.0183
produkt,6,0.0003,0.0044,0.0004,0.0267,0.001,0.0006,0.0003,0.0002,0.0002,0.0109
rolle,6,0.0003,0.0043,0.0004,0.0011,0.0103,0.0006,0.0003,0.0214,0.0002,0.002
rom,6,0.0003,0.0044,0.0005,0.0012,0.0011,0.0006,0.0003,0.0213,0.0026,0.002
sinto,6,0.0003,0.0044,0.0005,0.0012,0.0011,0.0006,0.0003,0.0212,0.0026,0.002
anregung,5,0.0026,0.0044,0.0004,0.0011,0.0141,0.0006,0.0005,0.0002,0.0002,0.002
bleiben,5,0.0003,0.0044,0.0425,0.0012,0.001,0.0006,0.0003,0.0002,0.0002,0.002
entwickeln,5,0.0003,0.0043,0.0004,0.0012,0.0155,0.0006,0.0003,0.0002,0.0021,0.002
erläutern,5,0.0004,0.0045,0.0004,0.0011,0.001,0.0143,0.0003,0.0002,0.0003,0.002
fachbegriff,5,0.0243,0.0043,0.0401,0.0011,0.001,0.0006,0.0003,0.0002,0.0002,0.002
fachintern,5,0.0261,0.0043,0.0043,0.0012,0.001,0.0006,0.0003,0.0002,0.0002,0.002
folter,5,0.0003,0.0043,0.0004,0.0267,0.001,0.0006,0.0003,0.0002,0.0002,0.002
frage,5,0.0003,0.0044,0.0004,0.0165,0.001,0.0006,0.0278,0.0002,0.0009,0.002
grundbedürfnisse,5,0.0003,0.0044,0.0004,0.0267,0.001,0.0006,0.0003,0.0002,0.0002,0.002
grundrecht,5,0.0287,0.0044,0.0004,0.0011,0.001,0.0006,0.0003,0.0002,0.0003,0.002
güterabwägung,5,0.0003,0.0043,0.0004,0.0267,0.001,0.0006,0.0003,0.0002,0.0002,0.002
hilfsaktion,5,0.0003,0.0044,0.0004,0.0267,0.001,0.0006,0.0003,0.0002,0.0002,0.002
katastrophenfälle,5,0.0003,0.0044,0.0004,0.0266,0.001,0.0006,0.0003,0.0002,0.0002,0.002
