rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,nationalsozialismus,58,23.587366754439937,0.07408047765404414
2,nationalsozialistisch,28,13.480092939807596,0.04233671923610899
3,antisemitismus,45,12.95181539685045,0.04067756613421372
4,grundlage,23,11.59320830126361,0.036410609859143225
5,volksgemeinschaft,21,10.528677150644869,0.03306725335239788
6,ideologisch,30,10.408564748064592,0.032690018188848015
7,bewerten,20,9.426992817990678,0.02960721042193228
8,europa,21,8.612692454432397,0.027049749874755925
9,führerprinzip,17,8.513400637583421,0.026737905602528065
10,ideologie,23,8.303315573880722,0.026078094694888417
11,charakterisieren,23,6.5897648036968075,0.02069637231522579
12,zwischenkriegszeit,12,5.973242788946104,0.018760071166715065
13,weltdeutung,15,5.918788610683147,0.01858904777194723
14,herrschaft,15,5.904769250710729,0.018545017385089176
15,lebensraum,13,5.364929283896995,0.01684955035756365
16,sozialdarwinismus,17,5.05362558518381,0.01587184364972173
17,diktatur,18,5.039965703375715,0.015828942270369965
18,holocaust,13,4.667186339969219,0.014658159894014812
19,ökonomisch,10,4.060549920939735,0.01275290628296542
20,ausgrenzung,9,3.8714301490268364,0.012158940742725782
