term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
nationalsozialismus,58,0.0048,0.0008,0.0007,0.0026,0.0032,0.0019,0.0157,0.0007,0.0011,0.0002,0.0009,0.002,0.091,0.001,0.0013
antisemitismus,45,0.004,0.0008,0.0007,0.003,0.0041,0.0019,0.0359,0.0007,0.0011,0.0026,0.0174,0.0242,0.056,0.001,0.0013
politisch,39,0.0038,0.0008,0.0555,0.0027,0.0026,0.002,0.0215,0.0223,0.0011,0.0002,0.0412,0.0016,0.0002,0.0011,0.0268
demokratie,35,0.0042,0.0069,0.0058,0.0026,0.0198,0.0027,0.0238,0.0007,0.0013,0.045,0.0009,0.0015,0.0397,0.0011,0.0013
gesellschaftlich,33,0.0037,0.0008,0.0007,0.0028,0.0205,0.0211,0.0428,0.0243,0.0013,0.0251,0.0066,0.0015,0.0002,0.0012,0.0012
ideologisch,31,0.0036,0.0008,0.0006,0.0043,0.0026,0.0018,0.0002,0.0434,0.0026,0.0002,0.0236,0.0016,0.0203,0.001,0.0013
nationalsozialistisch,28,0.0036,0.0008,0.0007,0.0025,0.0026,0.0019,0.0001,0.0007,0.0011,0.0002,0.0009,0.0786,0.0239,0.001,0.0015
imperialismus,24,0.0036,0.0008,0.0006,0.0025,0.0026,0.0022,0.0001,0.0007,0.1604,0.0002,0.0009,0.0014,0.0003,0.001,0.0015
ideologie,23,0.0039,0.0008,0.0266,0.0026,0.0027,0.0019,0.0001,0.0007,0.0017,0.0002,0.0009,0.0988,0.007,0.001,0.0016
charakterisieren,22,0.0037,0.0007,0.0006,0.0027,0.0026,0.0021,0.0001,0.0007,0.061,0.0002,0.0009,0.0014,0.016,0.001,0.0013
form,22,0.0037,0.0105,0.0128,0.0038,0.0026,0.014,0.0001,0.0007,0.0145,0.0002,0.0009,0.0014,0.0335,0.032,0.0013
projekt,22,0.0037,0.0939,0.0014,0.0402,0.0026,0.002,0.0001,0.0007,0.0021,0.0002,0.0019,0.0015,0.0002,0.001,0.0013
europa,21,0.0042,0.0008,0.0006,0.0026,0.0036,0.0019,0.0001,0.0007,0.0157,0.0221,0.0009,0.0015,0.0206,0.0012,0.0013
