topic_rank,topic_id,topic_prevalence,n_docs_where_dominant,peakiness
1,11,0.1133,17,32.3627
2,7,0.09,12,15.5035
3,20,0.0896,13,15.2581
4,4,0.083,13,17.0745
5,1,0.0803,11,22.0374
6,9,0.07,10,32.4201
7,5,0.0659,9,26.2782
8,3,0.0623,9,21.3313
9,8,0.0614,8,11.1347
10,19,0.061,8,21.353
11,15,0.0606,8,17.5076
12,2,0.059,8,16.7116
13,18,0.033,4,12.3194
14,14,0.0288,3,21.2776
15,16,0.0209,2,29.665
16,17,0.0055,0,13.3639
17,6,0.0038,0,1.2896
18,10,0.0038,0,1.2853
19,13,0.0038,0,1.3526
20,12,0.0038,0,1.0941
