Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
frieden,nationalsozialismus,versus,menschenrecht,demokratie
kulturell,antisemitismus,sozialisation,beispiel,antisemitismus
demokratisch,volksgemeinschaft,gesellschaftlich,menschenwürde,politisch
mensch,bewert,diskriminierung,kinderarbeit,nsdiktatur
ursache,führerprinzip,historisch,international,auseinandersetzung
grundgesetz,nationalsozialistisch,perspektive,menschenrechtsverletzung,analyse
ökonomisch,grundlage,heutig,diskutieren,inhalt
demokratie,ideologisch,umgang,diskriminierung,deutschland
international,europa,gruppe,produkt,möglichkeit
kompetenz,ideologie,diversität,form,holocaust
krieg,charakterisieren,arbeitsmigration,grundbegriff,diktatur
imperialismus,weltdeutung,gerechtigkeit,kultur,widerstand
grundrecht,lebensraum,maßnahme,kompetenz,extremismus
migration,zwischenkriegszeit,bezug,todesstrafe,errichtung
engagement,sozialdarwinismus,partizipation,grundbedürfnisse,weltkrieg
betroffener,herrschaft,europa,psychisch,theorie
fachintern,weltkrieg,migration,güterabwägung,nsideologie
gewalt,thema,bleiben,hilfsaktion,gegner
bezug,verbrechen,leer,folter,nationalismus
teilhabe,diktatur,kulturell,verletzung,form
