term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
nationalsozialismus,58,0.0224,0.0042,0.0003,0.0017,0.0258,0.0868,0.0004
antisemitismus,45,0.0004,0.0035,0.0157,0.0013,0.0578,0.0373,0.0005
politisch,39,0.0082,0.0033,0.0003,0.0014,0.0287,0.0005,0.0307
demokratie,35,0.029,0.007,0.0147,0.0014,0.0579,0.007,0.0005
gesellschaftlich,33,0.0004,0.0032,0.0543,0.0013,0.0018,0.0006,0.0111
ideologisch,31,0.0041,0.0033,0.0002,0.0014,0.002,0.0294,0.0132
nationalsozialistisch,28,0.0004,0.0033,0.0002,0.0014,0.0233,0.0097,0.0004
analysieren,26,0.0061,0.0034,0.0002,0.0013,0.0004,0.0166,0.0161
bewert,25,0.0003,0.0035,0.0002,0.0014,0.0003,0.0445,0.0004
imperialismus,24,0.0004,0.0037,0.0002,0.0013,0.0003,0.0426,0.0004
rassistisch,24,0.0102,0.0033,0.0168,0.0013,0.002,0.0014,0.01
grundlage,23,0.0003,0.0033,0.0002,0.0016,0.0074,0.0285,0.0005
ideologie,23,0.0003,0.0032,0.0003,0.0014,0.0064,0.0192,0.009
charakterisieren,22,0.0003,0.0035,0.0002,0.0013,0.0003,0.0392,0.0004
form,22,0.0004,0.0033,0.0002,0.0256,0.0241,0.0101,0.0081
projekt,22,0.0007,0.024,0.0002,0.0014,0.0006,0.0006,0.0269
thema,22,0.0005,0.0033,0.0002,0.0013,0.0005,0.0161,0.018
europa,21,0.0004,0.0044,0.0162,0.0013,0.0004,0.0284,0.0004
ursache,21,0.0341,0.0033,0.0159,0.0013,0.0006,0.0063,0.0004
volksgemeinschaft,21,0.0003,0.0034,0.0002,0.0013,0.0022,0.0341,0.0004
weltkrieg,21,0.0006,0.0138,0.0002,0.0014,0.0285,0.0188,0.0004
leben,20,0.0007,0.0137,0.0002,0.0196,0.0047,0.0006,0.014
mensch,20,0.0327,0.0034,0.0002,0.0013,0.0003,0.0059,0.0077
historisch,19,0.0069,0.0034,0.0446,0.0014,0.0004,0.0006,0.005
menschenrecht,19,0.0089,0.0032,0.0002,0.0481,0.0004,0.0005,0.0004
demokratisch,18,0.0392,0.0032,0.0003,0.0013,0.0005,0.0007,0.0005
diktatur,18,0.0004,0.0052,0.0002,0.0013,0.0323,0.0085,0.0004
inhalt,18,0.0005,0.0032,0.0002,0.0014,0.0309,0.0006,0.0087
kompetenz,18,0.0296,0.0033,0.016,0.0184,0.0003,0.0017,0.0005
denken,17,0.0003,0.0062,0.0002,0.0013,0.0003,0.0075,0.018
führerprinzip,17,0.0003,0.0034,0.0002,0.0013,0.0004,0.0303,0.0004
sozialdarwinismus,17,0.0003,0.0034,0.0002,0.0013,0.0042,0.0236,0.0004
vorurteil,17,0.0003,0.0032,0.0002,0.0013,0.0012,0.0058,0.0183
welt,17,0.0004,0.0063,0.0002,0.0013,0.0003,0.0228,0.0059
deutschland,16,0.0004,0.0034,0.0002,0.0013,0.0329,0.0005,0.0034
diskriminierung,16,0.0003,0.0032,0.0452,0.0254,0.0003,0.0006,0.0004
gesellschaft,16,0.0004,0.0032,0.0002,0.0014,0.0033,0.0005,0.0181
international,16,0.0287,0.0033,0.0003,0.0354,0.0003,0.0005,0.0004
umgang,16,0.0004,0.0034,0.0352,0.0014,0.0007,0.0028,0.0005
widerstand,16,0.0016,0.0032,0.0002,0.0015,0.031,0.0006,0.0044
herrschaft,15,0.0024,0.0034,0.0002,0.0013,0.0003,0.0183,0.0046
krieg,15,0.0287,0.0033,0.0003,0.0013,0.0003,0.0005,0.01
weltdeutung,15,0.0003,0.0035,0.0002,0.0013,0.0005,0.0215,0.0045
bezug,14,0.0268,0.0033,0.0175,0.0013,0.001,0.0012,0.0004
möglichkeit,14,0.0003,0.0033,0.0002,0.0014,0.033,0.0006,0.0005
unterschiedlich,14,0.006,0.0032,0.0002,0.0015,0.0004,0.0006,0.0122
versus,14,0.0003,0.0032,0.0856,0.0013,0.0003,0.0005,0.0004
holocaust,13,0.0003,0.0032,0.0002,0.0014,0.0321,0.0006,0.0004
lebensraum,13,0.0003,0.0034,0.0002,0.0013,0.0004,0.0198,0.0032
stereotyp,13,0.0003,0.0033,0.0142,0.0013,0.0003,0.0058,0.0114
deutsch,12,0.0004,0.0121,0.0002,0.0013,0.002,0.0038,0.0108
extremismus,12,0.0017,0.0032,0.0002,0.0013,0.0298,0.0006,0.0005
grundgesetz,12,0.033,0.0032,0.0002,0.0013,0.0004,0.0005,0.0004
hinblick,12,0.0003,0.0032,0.0002,0.0013,0.0003,0.0005,0.0169
perspektive,12,0.0043,0.0137,0.0431,0.0013,0.0003,0.0006,0.0004
zwischenkriegszeit,12,0.0003,0.0035,0.0002,0.0013,0.0003,0.0216,0.0004
europäisch,11,0.0004,0.0556,0.0003,0.0056,0.0022,0.0057,0.0005
jahrhundert,11,0.0005,0.0325,0.0002,0.0013,0.0004,0.0075,0.0059
afrika,10,0.0004,0.0032,0.0002,0.0013,0.0003,0.0181,0.0004
courage,10,0.0004,0.0032,0.0002,0.0015,0.0003,0.0005,0.014
ermitteln,10,0.0003,0.0032,0.0002,0.0013,0.0003,0.0005,0.0142
errichtung,10,0.0003,0.0032,0.0002,0.0013,0.0231,0.0005,0.0086
heutig,10,0.0003,0.0032,0.0435,0.0013,0.0003,0.0005,0.0033
migration,10,0.0241,0.0034,0.0172,0.0013,0.0003,0.0005,0.0004
ökonomisch,10,0.0309,0.0032,0.0002,0.0013,0.0003,0.0005,0.0004
aspekt,9,0.0003,0.0123,0.0002,0.0014,0.0015,0.0005,0.0099
beispiel,9,0.0004,0.0032,0.0002,0.0382,0.0003,0.0005,0.0009
ethik,9,0.0005,0.0032,0.0002,0.0016,0.0003,0.0006,0.0125
kulturell,9,0.0451,0.0032,0.0159,0.0013,0.0003,0.0005,0.0004
menschenwürde,9,0.0003,0.0032,0.0002,0.0347,0.0003,0.0006,0.002
