Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
welt,form,entscheidung,ethisch,element,bereich,entscheidung,position,interesse,handeln,menschlich,politisch
naturwissenschaftlich,inhalt,formulieren,urteil,fähigkeit,zeigen,perspektive,diskurse,denkweise,fähigkeit,problem,ökonomisch
wissenschaft,bedeutung,politisch,position,politisch,argumentieren,mensch,vertreten,zusammenhang,sozial,wirtschaft,entwickeln
ermöglichen,methodisch,reflektiert,diskurs,bereitschaft,entwicklung,lassen,philosophisch,politisch,vernunft,auseinandersetzung,urteilsfähigkeit
methode,gegenstand,ökologie,verstehen,berücksichtigen,entscheidend,psychologisch,rahmen,situation,maß,behandeln,gesellschaftlich
technik,welt,vertreten,moralisch,fakt,philosophisch,systematisch,argumentativ,regel,technisch,philosophie,begründeter
denken,hinsichtlich,selbstständig,unterschiedlich,prozeß,wirtschaftsordnung,kritisch,beitrag,verhalten,wesentlich,gesellschaft,wertbezogen
wissen,philosophie,ökonomie,mensch,position,erfassen,wissenschaftlich,diskussion,perspektivwechsel,verantwortlich,ökonomie,maßstab
mensch,geschichte,spannungsverhältnis,fairness,wesentlich,auseinandersetzung,möglichkeit,argument,vertreten,beitragen,gestaltung,fähigkeit
grenze,auseinandersetzung,umsetzungsmöglichkeit,legitimieren,entscheidungsfindung,angemessen,entscheiden,grund,konflikt,verstand,religion,demokratisch
spezifisch,zusammenhang,kriterium,revidieren,auszutrag,wirtschaftlich,verhalten,handlung,sinnvorstellung,nachhaltig,geschichte,sozial
analytisch,religiös,nennen,befähigung,legitim,fähigkeit,blick,bürger,austragen,menschheit,bedingung,toleranz
erkenntnis,unterscheidung,wirtschaftlich,geprägt,kriterium,gesellschaftlich,ethisch,überzeugung,rolle,kritik,teilthema,sachverhalt
naturwissenschaft,wissenschaftlich,sinn,problemstellung,erfolgen,verantwortlich,politisch,fragestellung,einhalten,philosophisch,nachdenken,medium
betrachtung,grundsätzlich,einnehmen,austausch,unterliegen,leben,theoretisch,revolution,gewaltfrei,ethik,ethik,analyse
arbeit,historisch,weitgehend,erfassen,lernbereich,rahmen,modell,perspektive,simulativ,wissenschaftlich,erkenntnis,schemata
kommunizieren,offenheit,lernen,förderlich,grundlegend,verflechtung,psychologie,beteiligen,versetzen,somit,bieten,nutzen
erkenntnisgewinnung,lernbereich,widerstand,persönlichkeitsentwicklung,historisch,begreifen,beziehen,allgemeinmenschlich,mensch,mensch,sozial,chance
orientierung,philosophisch,begründen,offenheit,tragen,wirtschaft,bewältigung,rechtfertigen,demokratisch,naturwissenschaftlich,soziale,rechtlich
wesen,begriff,grenze,entfalten,sinn,funktion,phänomen,entscheidung,wahrnehmen,stellen,ästhetischexpressiv,grundordnung
