rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,synaptisch,11,6.289860548377117,0.06932066935341669
2,chemisch,11,5.105916369275521,0.05627239867377818
3,teilche,12,4.871821399521789,0.0536924336855586
4,lernen,23,4.5584029437042535,0.05023824309136625
5,signal,13,3.8152208732095096,0.042047619756887686
6,datum,18,3.6941398458788157,0.040713183516845976
7,übertragen,6,3.648376520796338,0.04020882506531021
8,stoff,14,3.0897845596917852,0.034052572738031486
9,einfach,8,3.068862263278337,0.03382198772257116
10,synapsen,10,2.4759654892431238,0.02728766141795907
11,nervenzelle,6,2.3930551062569863,0.026373904554711905
12,veränderung,5,1.9072481431566137,0.02101981703565594
13,synapse,12,1.9070626480198216,0.021017772690325016
14,biologie,7,1.7855248683821214,0.019678302574666056
15,reflexion,19,1.5106342488670472,0.016648727976437964
16,chance,6,1.3192685009378802,0.014539682531672133
17,bild,5,1.3073142827513664,0.014407934872099659
18,welt,6,1.3048891059938628,0.014381206954232882
19,neuromuskulär,6,1.3045340052821013,0.014377293382725557
20,basis,5,1.2984844144758494,0.014310620730640789
