term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12
anforderungsbereich,55,0.0634,0.0505,0.0006,0.0351,0.0039,0.0421,0.0004,0.0005,0.0025,0.0002,0.0009,0.0007
sachverhalte,41,0.0004,0.0171,0.0007,0.0766,0.0039,0.0414,0.0004,0.0005,0.0027,0.0156,0.001,0.0007
operator,39,0.0428,0.0338,0.0006,0.0103,0.0039,0.0414,0.0004,0.0005,0.0026,0.0002,0.0009,0.0007
zusammenhang,38,0.024,0.0005,0.0007,0.0613,0.0038,0.0086,0.0003,0.0004,0.0029,0.0073,0.0068,0.0008
sachverhalt,31,0.0049,0.0005,0.0203,0.0436,0.0039,0.0929,0.0004,0.0005,0.0026,0.0002,0.0072,0.0006
afb,30,0.0527,0.0004,0.0005,0.0003,0.0039,0.0006,0.0003,0.0004,0.0026,0.0002,0.0008,0.0007
reorganisation,29,0.0342,0.0171,0.0006,0.0317,0.004,0.0006,0.0003,0.0005,0.0026,0.0002,0.0009,0.0007
umfasst,29,0.0003,0.0338,0.0005,0.0167,0.004,0.0006,0.0068,0.0004,0.0026,0.0002,0.0012,0.0007
inhalt,26,0.0004,0.0123,0.0005,0.0215,0.0041,0.0006,0.0028,0.0005,0.0026,0.0002,0.0008,0.0379
kontext,23,0.0055,0.0004,0.0005,0.0002,0.0039,0.0006,0.0004,0.0006,0.0028,0.0318,0.0247,0.0006
lernen,23,0.0011,0.0005,0.0005,0.0002,0.0038,0.0075,0.0363,0.0005,0.0025,0.0004,0.0008,0.0288
anwendung,22,0.0099,0.008,0.0006,0.0003,0.0039,0.0007,0.0318,0.0005,0.0027,0.0002,0.0009,0.0093
fachmethode,19,0.0003,0.0009,0.0005,0.0002,0.0038,0.0006,0.0004,0.0005,0.0027,0.032,0.0008,0.0007
material,19,0.0113,0.0004,0.025,0.0441,0.004,0.0006,0.0003,0.0005,0.0028,0.0057,0.0009,0.0007
modell,19,0.0003,0.0117,0.0006,0.0002,0.0039,0.0006,0.0336,0.0005,0.0027,0.0002,0.014,0.0007
reflexion,19,0.0359,0.014,0.0005,0.0003,0.0039,0.0006,0.0007,0.0005,0.0029,0.0002,0.0009,0.0008
selbstständig,19,0.0048,0.0307,0.0005,0.0068,0.004,0.0006,0.0003,0.0005,0.0025,0.0002,0.0009,0.0008
datum,18,0.0096,0.0004,0.0006,0.0227,0.0039,0.0007,0.0003,0.0005,0.0029,0.0002,0.001,0.0281
kritisch,18,0.0003,0.0004,0.0005,0.0002,0.0038,0.0006,0.0076,0.035,0.0027,0.0156,0.0008,0.0006
ler,18,0.0003,0.0005,0.0523,0.0002,0.004,0.0006,0.0004,0.0005,0.0027,0.0156,0.0009,0.0007
verwend,18,0.0003,0.0004,0.0005,0.0002,0.0039,0.0006,0.0004,0.0005,0.0028,0.0309,0.0008,0.0007
wissen,18,0.0061,0.0004,0.0006,0.0027,0.0041,0.0006,0.0254,0.0005,0.0028,0.0002,0.0008,0.0169
fragestellung,17,0.0094,0.0005,0.0005,0.0054,0.004,0.0006,0.0003,0.0332,0.0025,0.0002,0.0137,0.0006
vergleichbar,17,0.0038,0.0171,0.0005,0.0002,0.0039,0.0006,0.0004,0.0005,0.0027,0.0156,0.0009,0.0007
ziel,17,0.0003,0.0005,0.0005,0.0003,0.004,0.0006,0.062,0.0005,0.0026,0.0002,0.0233,0.0007
biologisch,16,0.0085,0.0005,0.0006,0.0002,0.0039,0.0007,0.0005,0.0006,0.0026,0.0003,0.0591,0.0006
iii,16,0.0293,0.0004,0.0005,0.0034,0.004,0.0006,0.0004,0.0005,0.0026,0.0002,0.0008,0.0007
reproduktion,16,0.0396,0.0004,0.0005,0.0003,0.0039,0.0006,0.0004,0.0005,0.0026,0.0002,0.0008,0.0006
umgang,16,0.0003,0.0009,0.0005,0.0049,0.004,0.0006,0.0004,0.0005,0.0027,0.0156,0.0329,0.0007
anwenden,15,0.0004,0.0004,0.0005,0.0043,0.0039,0.0006,0.0004,0.0005,0.0029,0.0167,0.0008,0.0071
arbeitstechnik,15,0.0003,0.0004,0.0005,0.0073,0.004,0.0006,0.0004,0.0005,0.0027,0.0156,0.0008,0.0007
beschreibung,15,0.004,0.0171,0.0006,0.0002,0.0038,0.0414,0.0003,0.0005,0.0026,0.0002,0.0009,0.0124
darstellung,15,0.0139,0.0004,0.0006,0.0002,0.0039,0.0435,0.0028,0.0005,0.0026,0.0002,0.0085,0.001
information,15,0.0005,0.0004,0.0005,0.0002,0.004,0.051,0.0299,0.0005,0.0025,0.0002,0.0061,0.0006
kommunikation,15,0.0003,0.0115,0.0005,0.0002,0.004,0.0006,0.0067,0.0004,0.0025,0.0002,0.0009,0.0333
politisch,15,0.0003,0.0004,0.0291,0.0154,0.0038,0.0006,0.0185,0.0005,0.0025,0.0185,0.0469,0.0181
begründen,14,0.0003,0.0004,0.0005,0.0002,0.004,0.0006,0.0004,0.0005,0.0027,0.0246,0.0064,0.0007
kenntnis,14,0.0003,0.0009,0.0005,0.0026,0.004,0.0006,0.0004,0.0005,0.0027,0.0232,0.0008,0.0007
stoff,14,0.0003,0.0226,0.0005,0.0002,0.0039,0.0006,0.0004,0.0005,0.0488,0.0041,0.0008,0.0007
verfahrensweise,14,0.0038,0.0004,0.0005,0.0026,0.0041,0.0006,0.0004,0.0005,0.0027,0.0156,0.0061,0.0006
signal,13,0.0003,0.006,0.0005,0.0004,0.004,0.0006,0.0004,0.0005,0.0026,0.0008,0.0008,0.043
