rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,historisch,295,221.27072006348095,0.03582407581684524
2,folge,433,116.99015636697114,0.018940889378913615
3,beurteilen,177,93.50735729147478,0.015138987463328141
4,beschreiben,490,85.79893820226535,0.013890982350854918
5,auswirkung,235,76.84183077435637,0.012440812642431767
6,ereignis,80,69.31444428584982,0.011222116991287362
7,entwicklung,273,68.25116885862988,0.011049971035835202
8,verschieden,169,53.950632348741486,0.00873469179778315
9,bewerten,69,51.65622050028612,0.008363222929283277
10,prozeß,132,50.719177971435144,0.00821151427760295
11,gesellschaft,162,49.48155202531202,0.008011140700321285
12,bezug,67,48.29425547998442,0.00781891553178253
13,kompetenz,112,48.05429805095037,0.007780066048542883
14,erläutern,356,47.27596408260718,0.007654052561151722
15,interesse,86,46.219060407888115,0.0074829382023998015
16,akteur,132,44.83366357704076,0.007258640287653313
17,hinblick,70,44.70757921088495,0.007238227031479208
18,wandel,121,44.23888487652667,0.00716234468534611
19,geschichte,82,43.46428195602577,0.007036935260438862
20,gesellschaftlich,226,43.012554292029385,0.006963799844786351
