term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10,Topic_11,Topic_12,Topic_13,Topic_14,Topic_15
folge,433,0.0243,0.0,0.0011,0.0088,0.0001,0.0001,0.0001,0.0001,0.0145,0.0178,0.0112,0.0203,0.0,0.0201,0.0249
politisch,311,0.0,0.0,0.0001,0.0178,0.0037,0.0001,0.0001,0.0001,0.0,0.0,0.0004,0.0338,0.0,0.0203,0.0108
historisch,295,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0594,0.0001,0.0,0.0,0.0,0.0088,0.0,0.0078,0.0347
konflikt,280,0.0098,0.0,0.0001,0.0,0.0,0.0001,0.0256,0.0001,0.0,0.0573,0.0021,0.0251,0.0,0.0,0.0
entwicklung,273,0.0019,0.0,0.0001,0.0089,0.0198,0.0001,0.0032,0.0001,0.0145,0.0,0.027,0.0,0.0,0.0104,0.0193
auswirkung,235,0.0001,0.0,0.0001,0.0097,0.0,0.0518,0.0001,0.0001,0.0,0.0039,0.0214,0.0034,0.0,0.0099,0.0144
gesellschaftlich,226,0.0059,0.0,0.0001,0.0097,0.0001,0.0001,0.0059,0.0001,0.0,0.0,0.0055,0.0257,0.0,0.0,0.0107
sozial,226,0.0218,0.0,0.0036,0.0134,0.0,0.0188,0.0023,0.0001,0.0,0.0059,0.0056,0.0049,0.0,0.0014,0.018
bedeutung,222,0.0121,0.0022,0.0001,0.0119,0.0001,0.0001,0.0016,0.0001,0.0232,0.0097,0.0102,0.0051,0.0048,0.0103,0.0025
zusammenhang,217,0.0,0.0391,0.0089,0.0,0.0132,0.0001,0.0141,0.0001,0.0,0.0176,0.0084,0.0041,0.0,0.0,0.0091
international,199,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0058,0.0408,0.0,0.0,0.0001
revolution,193,0.0,0.0,0.0001,0.0714,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0026
deutschland,169,0.0,0.0,0.0001,0.007,0.0001,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0007,0.0,0.0393,0.0094
verschieden,169,0.008,0.0016,0.0001,0.0,0.0,0.0257,0.0303,0.0001,0.0,0.0065,0.0083,0.0072,0.0,0.0013,0.0038
form,163,0.0246,0.0,0.0001,0.0067,0.0,0.0001,0.0105,0.0001,0.0,0.0148,0.0,0.0011,0.0,0.0,0.0108
gesellschaft,162,0.0058,0.0,0.0001,0.0136,0.0,0.0054,0.0001,0.0001,0.0,0.0,0.0,0.0043,0.0,0.0,0.0225
unterschiedlich,158,0.0132,0.0151,0.0023,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0069,0.0118,0.0092,0.0,0.0048,0.0
mensch,151,0.0086,0.0,0.0325,0.007,0.0085,0.0001,0.0001,0.0001,0.0,0.0018,0.0011,0.0,0.0227,0.0,0.0034
krieg,147,0.0046,0.0,0.0001,0.0133,0.0,0.0001,0.0025,0.0235,0.0,0.002,0.0,0.0115,0.0,0.0015,0.0047
wirkung,146,0.0,0.0077,0.0357,0.0,0.0,0.0001,0.0196,0.0001,0.0,0.0037,0.0007,0.0044,0.0,0.0,0.0081
ökonomisch,137,0.0029,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0229,0.0124,0.0,0.0,0.0026
prozeß,132,0.0,0.0048,0.0046,0.0,0.0036,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0135,0.0,0.0,0.0114
akteur,132,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0001,0.0061,0.0186,0.0,0.0,0.0075
dar,132,0.0358,0.0,0.0001,0.0089,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0035,0.005,0.0,0.0,0.0
stellen,131,0.0332,0.0169,0.0001,0.0092,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0016,0.0,0.0,0.0011
möglichkeit,128,0.0044,0.0044,0.0001,0.0079,0.0,0.0017,0.0075,0.0001,0.0015,0.0092,0.0,0.0099,0.0,0.0015,0.003
wirtschaftlich,127,0.0161,0.0,0.0001,0.0048,0.0001,0.0001,0.0034,0.0001,0.0,0.0,0.0024,0.003,0.0,0.0081,0.0081
wandel,121,0.0,0.0,0.0001,0.0091,0.0,0.0001,0.0001,0.0001,0.0015,0.0,0.0,0.0017,0.0,0.002,0.0207
global,112,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0161,0.0109,0.0,0.005,0.0
weltkrieg,112,0.0001,0.0,0.0001,0.0074,0.0144,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0003,0.0,0.0201,0.0023
gewalt,107,0.0223,0.0,0.0001,0.0021,0.0,0.0086,0.0042,0.023,0.0,0.0064,0.0,0.0,0.0,0.0013,0.0
verhalten,106,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0036,0.0,0.0,0.0594,0.0,0.0
merkmal,106,0.0045,0.0,0.0001,0.0054,0.0,0.0001,0.0001,0.0001,0.0071,0.0044,0.0083,0.0036,0.002,0.0,0.0045
funktion,105,0.0,0.0,0.0306,0.0039,0.0059,0.0001,0.0129,0.0001,0.0,0.0011,0.0013,0.0026,0.0,0.0,0.0038
genetisch,103,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0546,0.0,0.0,0.0,0.0,0.0,0.0
ziel,103,0.007,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0071,0.0024,0.0,0.0108,0.0057
struktur,102,0.0,0.0,0.0001,0.0,0.0105,0.0001,0.0116,0.0001,0.0057,0.0013,0.0063,0.0013,0.0,0.0019,0.0072
deutsch,102,0.0,0.0,0.0001,0.0188,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0053,0.0,0.0097,0.0
erörtern,101,0.0,0.0156,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0041,0.014,0.0,0.0001,0.0
sachverhalt,97,0.0,0.0425,0.0001,0.0,0.0194,0.0001,0.002,0.0001,0.0,0.0,0.0,0.0,0.0,0.0,0.0024
europäisch,96,0.0,0.0,0.0001,0.0016,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0108,0.0,0.0135,0.0007
inhalt,95,0.0039,0.0,0.0074,0.0034,0.0,0.0001,0.0001,0.0001,0.0067,0.0033,0.0001,0.0,0.0,0.0034,0.0095
darstellung,92,0.0,0.0,0.0076,0.001,0.0392,0.0001,0.0022,0.0001,0.0,0.0014,0.0,0.0041,0.0,0.0,0.0
veränderung,92,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0206,0.0,0.0004,0.0006,0.0024,0.0017,0.0095
demokratie,88,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0012,0.0,0.0285,0.0
aktuell,86,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0001,0.0001,0.0,0.0,0.0,0.0165,0.0,0.0,0.0028
interesse,86,0.0,0.0,0.0001,0.0019,0.0,0.0001,0.0041,0.0001,0.0,0.0113,0.0,0.0056,0.0,0.0013,0.0068
