term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
folge,433,0.0177,0.0003,0.0186,0.0167,0.0079
politisch,311,0.0179,0.0,0.0135,0.0114,0.0
historisch,295,0.0049,0.0209,0.0022,0.0215,0.0
konflikt,280,0.0273,0.0001,0.0075,0.0009,0.0
entwicklung,273,0.0107,0.0028,0.0055,0.0134,0.009
auswirkung,235,0.0106,0.0006,0.0094,0.0087,0.0043
gesellschaftlich,226,0.0111,0.0001,0.0018,0.019,0.0
sozial,226,0.0238,0.0001,0.0001,0.0039,0.0019
bedeutung,222,0.008,0.0001,0.0071,0.0056,0.0131
zusammenhang,217,0.0036,0.0263,0.0014,0.0062,0.0047
international,199,0.0058,0.0,0.0234,0.0,0.0
revolution,193,0.0,0.0,0.0001,0.0283,0.0
deutschland,169,0.0074,0.0,0.014,0.0027,0.0
verschieden,169,0.0078,0.0041,0.0,0.0093,0.0042
form,163,0.009,0.0003,0.0042,0.0061,0.003
gesellschaft,162,0.0078,0.0,0.0055,0.0095,0.0
unterschiedlich,158,0.0104,0.0045,0.0016,0.0055,0.0015
mensch,151,0.003,0.0001,0.0023,0.0041,0.0143
krieg,147,0.0014,0.0001,0.0189,0.0001,0.0
wirkung,146,0.0,0.015,0.0001,0.0071,0.0061
ökonomisch,137,0.0125,0.0,0.002,0.0044,0.0
prozeß,132,0.0028,0.0033,0.0001,0.0117,0.0029
akteur,132,0.0034,0.0,0.012,0.0041,0.0
dar,132,0.0128,0.0,0.0,0.0049,0.0
stellen,131,0.0084,0.0065,0.0,0.0056,0.0
wirtschaftlich,127,0.01,0.0,0.0025,0.005,0.0
wandel,121,0.0051,0.0,0.0012,0.0115,0.0
global,112,0.0046,0.0,0.0035,0.0081,0.0
weltkrieg,112,0.0,0.0,0.0154,0.0,0.0
gewalt,107,0.0101,0.0008,0.0,0.0011,0.0009
verhalten,106,0.0,0.0001,0.0,0.0,0.0188
merkmal,106,0.0076,0.0,0.0023,0.0021,0.003
funktion,105,0.0004,0.0,0.0014,0.0055,0.0101
genetisch,103,0.0,0.0,0.0,0.0,0.0181
struktur,102,0.003,0.0076,0.0017,0.0023,0.0036
deutsch,102,0.0,0.0,0.0097,0.0049,0.0
sachverhalt,97,0.0,0.0214,0.0,0.0014,0.0
europäisch,96,0.0033,0.0,0.01,0.0002,0.0
inhalt,95,0.0013,0.0001,0.0073,0.0027,0.0027
darstellung,92,0.0027,0.0143,0.0,0.0004,0.0012
veränderung,92,0.0028,0.0019,0.0006,0.0026,0.0071
demokratie,88,0.0004,0.0,0.0123,0.0,0.0
aktuell,86,0.0014,0.0,0.0079,0.0037,0.0
interesse,86,0.0039,0.0,0.0024,0.0061,0.0
staat,85,0.0044,0.0001,0.0071,0.0001,0.0
geschichte,82,0.0014,0.0072,0.0023,0.0034,0.0
begründen,81,0.0,0.0179,0.0,0.0,0.0014
ereignis,80,0.0,0.0017,0.0002,0.0103,0.0
welt,79,0.0024,0.0,0.007,0.0009,0.0009
frage,79,0.0024,0.0024,0.0,0.0069,0.0004
französisch,79,0.0,0.0,0.0006,0.011,0.0
modell,73,0.0,0.018,0.0,0.0,0.0
problem,73,0.0005,0.0,0.0027,0.0071,0.0011
europa,72,0.0,0.0,0.008,0.0023,0.0
kommunikation,68,0.0,0.0,0.0014,0.001,0.0091
armut,63,0.0075,0.0001,0.0001,0.0,0.0
nennen,63,0.0025,0.001,0.0006,0.0,0.0065
evolution,61,0.0,0.0,0.0,0.0,0.0108
iii,60,0.0,0.0146,0.0,0.0,0.0
krise,59,0.0,0.0,0.0083,0.0,0.0002
jahrhundert,56,0.0,0.0001,0.0077,0.0,0.0
ultimat,54,0.0,0.0,0.0,0.0,0.0095
variabilität,54,0.0,0.0,0.0,0.0,0.0095
material,54,0.0006,0.0071,0.0006,0.0,0.0033
theorie,53,0.0,0.0131,0.0001,0.0,0.0
geeignet,53,0.0,0.0129,0.0,0.0,0.0
aussage,51,0.0001,0.0105,0.0,0.0012,0.0
menschlich,51,0.0,0.003,0.0,0.0003,0.0065
organismus,51,0.0,0.0,0.0,0.0,0.009
fortpflanzung,50,0.0,0.0,0.0,0.0,0.0089
proximat,49,0.0,0.0,0.0,0.0,0.0086
position,47,0.0001,0.0084,0.0,0.0021,0.0
selektion,43,0.0,0.0,0.0,0.0,0.0077
rekombination,36,0.0,0.0,0.0,0.0,0.0063
endogen,36,0.0,0.0001,0.0,0.0,0.0064
bestimmt,35,0.0,0.0086,0.0,0.0,0.0
niveau,33,0.0,0.0081,0.0,0.0,0.0
leistungskurs,30,0.0,0.0073,0.0,0.0,0.0
text,29,0.0,0.0071,0.0,0.0,0.0
