term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
verhalten,1266,0.0375,0.0259,0.0495,0.03,0.0303,0.0652,0.0541
verhaltensweise,347,0.0,0.0208,0.0179,0.0121,0.0127,0.0001,0.0017
mensch,345,0.0286,0.013,0.0187,0.0162,0.0072,0.0001,0.003
sozial,276,0.0,0.0007,0.0028,0.0179,0.0082,0.0001,0.0136
beschreiben,225,0.0037,0.016,0.0059,0.0038,0.0029,0.0001,0.0071
verschieden,207,0.0,0.0054,0.0022,0.0068,0.0128,0.0001,0.0087
entwicklung,205,0.0,0.0214,0.0017,0.0051,0.0051,0.0001,0.0028
menschlich,199,0.0,0.0082,0.0049,0.0031,0.0006,0.0001,0.015
kompetenz,185,0.0,0.0029,0.0,0.015,0.0044,0.0001,0.0056
erleben,172,0.0,0.0,0.0,0.0,0.0,0.0001,0.0243
lernen,171,0.0082,0.0045,0.0,0.0015,0.0106,0.0023,0.0055
erklären,160,0.0,0.0,0.0198,0.0045,0.0,0.0001,0.0063
entwickeln,159,0.0048,0.0035,0.0,0.0,0.0165,0.0001,0.0058
grundlage,154,0.0,0.0041,0.0071,0.0023,0.0081,0.0001,0.0071
handeln,153,0.0038,0.0,0.0001,0.0113,0.0062,0.0001,0.0028
fähigkeit,149,0.0108,0.0,0.0,0.0037,0.0097,0.0001,0.0026
reflektieren,148,0.0321,0.003,0.0,0.0025,0.0111,0.0001,0.0035
erläutern,146,0.0,0.0055,0.0058,0.0002,0.0034,0.0001,0.0103
beurteilen,141,0.0,0.0007,0.0023,0.0127,0.0017,0.0001,0.004
psychologie,132,0.0,0.0,0.0,0.0,0.0,0.0001,0.0186
ursache,131,0.0,0.0039,0.0242,0.0,0.0021,0.0001,0.0001
psychologisch,125,0.0,0.0,0.0,0.0,0.0,0.0001,0.0177
regel,124,0.0,0.0,0.0,0.0026,0.0054,0.0489,0.0
kenntnis,122,0.0,0.0031,0.0,0.004,0.0,0.0429,0.0006
kommunikation,120,0.0,0.0131,0.0061,0.0,0.0,0.0001,0.0031
bedeutung,119,0.0,0.005,0.003,0.0074,0.0,0.003,0.0026
erkennen,115,0.0,0.0007,0.0,0.0055,0.0093,0.0048,0.0035
wert,114,0.0,0.0001,0.0128,0.0053,0.0006,0.0001,0.0024
evolution,113,0.0,0.0037,0.0223,0.0,0.0,0.0001,0.0
unterschiedlich,109,0.0,0.0,0.0033,0.0003,0.0055,0.0001,0.0097
phänomen,107,0.0,0.0038,0.0001,0.0009,0.0,0.005,0.01
inhalt,105,0.0,0.008,0.0,0.0032,0.0041,0.0001,0.003
möglichkeit,105,0.0,0.0,0.0016,0.0023,0.0108,0.0001,0.0054
bewerten,101,0.0007,0.0024,0.0,0.008,0.0005,0.0001,0.0031
modell,101,0.0,0.0046,0.0,0.0,0.0,0.0001,0.0107
angemessen,99,0.0041,0.0,0.0,0.0092,0.0023,0.0001,0.0
bezug,99,0.0,0.0041,0.0022,0.0008,0.0071,0.0001,0.0043
tier,97,0.0,0.0085,0.0112,0.0002,0.0,0.0001,0.0
politisch,95,0.0,0.0,0.0,0.0127,0.0,0.0059,0.0
gesellschaft,92,0.0,0.0,0.0,0.0074,0.009,0.0001,0.0
ableit,86,0.0,0.0,0.0,0.0,0.0,0.0524,0.0
verantwortung,86,0.0,0.0,0.0015,0.0064,0.0033,0.0001,0.0025
mechanik,86,0.0,0.0,0.0,0.0,0.0,0.0521,0.0
maßnahme,85,0.0,0.0042,0.0017,0.0076,0.0,0.0001,0.0
analysieren,84,0.0,0.0,0.0031,0.0015,0.0021,0.0001,0.0075
gesellschaftlich,81,0.0,0.0,0.0,0.0091,0.0038,0.0001,0.0
ultimat,77,0.0,0.0,0.0185,0.0,0.0,0.0001,0.0
lernende,77,0.0,0.0015,0.0015,0.0,0.0145,0.0001,0.0
straßenverkehr,73,0.0,0.0,0.0,0.0,0.0,0.0443,0.0
fach,73,0.0,0.0018,0.0,0.0083,0.0,0.0028,0.0
nachhaltig,72,0.0,0.0065,0.0,0.0037,0.0,0.0001,0.001
proximat,72,0.0,0.0,0.0173,0.0,0.0,0.0001,0.0
psychisch,72,0.0,0.0,0.0001,0.0,0.0,0.0001,0.0101
gesundheit,70,0.0,0.0068,0.0019,0.0031,0.0,0.0001,0.0002
gruppe,68,0.0,0.0,0.0,0.0,0.0,0.0003,0.0096
situation,68,0.028,0.0,0.0,0.0021,0.0017,0.0001,0.0039
bewertung,68,0.0,0.0057,0.0032,0.0,0.0,0.0142,0.0
organismus,68,0.0,0.0072,0.0068,0.0,0.0,0.0001,0.0
naturwissenschaftlich,67,0.0,0.0021,0.0,0.0075,0.0,0.0001,0.0
rolle,66,0.0299,0.0,0.0,0.0,0.0,0.0001,0.0051
funktion,66,0.0,0.0084,0.0011,0.0,0.0,0.0001,0.002
sicher,65,0.0,0.0,0.0,0.0,0.0,0.0394,0.0
erklärung,65,0.0,0.0006,0.0074,0.0,0.0,0.0001,0.0043
sicherheitsgurte,64,0.0,0.0,0.0,0.0,0.0,0.0388,0.0
information,64,0.0,0.0116,0.0,0.0001,0.0,0.0001,0.0
verstehen,63,0.0,0.0,0.0,0.0085,0.0004,0.0001,0.0
theorie,62,0.0,0.0,0.0,0.0,0.0,0.0001,0.0087
