term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
klischee,126,0.0004,0.0275,0.0046,0.0222,0.0437
form,102,0.005,0.0289,0.0002,0.0107,0.0465
mensch,80,0.0185,0.0003,0.0223,0.0002,0.0313
stereotyp,75,0.0071,0.022,0.0002,0.0202,0.0323
sozial,68,0.0304,0.0002,0.0161,0.0076,0.0002
toleranz,67,0.0002,0.0065,0.0078,0.0001,0.0311
ursache,66,0.0002,0.0002,0.0108,0.0178,0.0072
wahrnehmung,62,0.0202,0.0002,0.0209,0.0001,0.0002
folge,55,0.0052,0.0002,0.0081,0.0151,0.0066
urteil,54,0.0163,0.0002,0.0169,0.0001,0.0041
möglichkeit,52,0.0003,0.0002,0.016,0.01,0.0066
kritisch,48,0.01,0.0125,0.0002,0.0001,0.0074
medium,46,0.0185,0.0029,0.0131,0.0072,0.0023
unterschiedlich,46,0.0025,0.0002,0.0085,0.0186,0.0054
prüfen,40,0.0002,0.0014,0.0046,0.0034,0.013
historisch,39,0.0003,0.0245,0.0027,0.0025,0.0002
konflikt,38,0.0039,0.0002,0.0103,0.0036,0.0069
geschichte,36,0.0038,0.0139,0.0063,0.0042,0.0002
kultur,36,0.0113,0.0003,0.0002,0.0002,0.0153
verschieden,35,0.012,0.0002,0.0025,0.0059,0.0003
diskriminierung,34,0.0002,0.0003,0.0048,0.0029,0.0136
leben,34,0.0121,0.0002,0.0054,0.0001,0.0068
zusammenhang,33,0.001,0.0062,0.0002,0.0001,0.0121
wert,32,0.0002,0.0002,0.0089,0.0001,0.0104
zusammenleben,32,0.0048,0.0101,0.0002,0.0022,0.0106
handeln,31,0.0097,0.0002,0.0021,0.0001,0.0184
umgang,31,0.004,0.0125,0.0101,0.0001,0.0047
bne,29,0.0002,0.0143,0.0015,0.0001,0.0042
gesellschaftlich,29,0.0038,0.0158,0.0038,0.0149,0.0017
religion,29,0.0003,0.0002,0.0006,0.0004,0.0197
begründet,28,0.0002,0.005,0.0103,0.0001,0.0024
rolle,28,0.0036,0.0002,0.0034,0.0001,0.0121
typisch,28,0.0002,0.0002,0.0104,0.0183,0.0002
ethik,26,0.0002,0.0002,0.0117,0.0001,0.0046
gegenwart,26,0.0003,0.0097,0.0091,0.0001,0.0002
europa,25,0.0002,0.0178,0.0002,0.0128,0.0002
sexualität,25,0.0002,0.0002,0.0162,0.0001,0.0002
abbau,24,0.0131,0.0068,0.0078,0.0001,0.0002
imperialismus,24,0.0002,0.013,0.0002,0.0001,0.0017
bedeutung,22,0.0057,0.0174,0.0002,0.0001,0.002
fremdheit,22,0.0002,0.0045,0.0002,0.0001,0.0103
respekt,22,0.0002,0.0002,0.0002,0.0001,0.0123
welt,22,0.0189,0.0002,0.0003,0.0001,0.0073
denken,20,0.0008,0.0002,0.0018,0.0204,0.0002
liebe,20,0.0002,0.0002,0.013,0.0001,0.0002
politisch,20,0.0157,0.0081,0.0002,0.0109,0.0002
weltkrieg,20,0.0002,0.0253,0.0002,0.0001,0.0003
frage,18,0.0012,0.001,0.0002,0.0001,0.0107
gruppe,18,0.0238,0.0004,0.0108,0.0001,0.0002
hinblick,18,0.0008,0.0002,0.0002,0.0251,0.0027
inhalt,18,0.0011,0.0073,0.0003,0.0002,0.011
solidarität,18,0.0002,0.0002,0.0002,0.0001,0.0101
entstehung,16,0.0106,0.0002,0.0027,0.0001,0.0002
lernen,16,0.0106,0.0002,0.0002,0.0001,0.0002
deutschland,15,0.0002,0.0107,0.0002,0.0002,0.0007
verhalten,15,0.0004,0.0051,0.0093,0.0001,0.0002
ideologisch,14,0.0002,0.0031,0.0002,0.0187,0.0002
minderheit,14,0.0002,0.0167,0.0002,0.0006,0.0002
sucht,14,0.0178,0.0002,0.0034,0.0001,0.001
grundrecht,13,0.0002,0.0233,0.0002,0.0001,0.0002
rassismus,13,0.0002,0.0002,0.0002,0.0178,0.0015
sexuell,13,0.0002,0.0002,0.011,0.0001,0.0002
theorie,13,0.0009,0.0002,0.0002,0.0168,0.0002
medial,12,0.0216,0.0002,0.0026,0.0001,0.0038
benennen,11,0.0127,0.0002,0.0002,0.0001,0.0002
bild,11,0.0187,0.0002,0.0002,0.0026,0.0004
orientierungskompetenz,11,0.0002,0.0112,0.0002,0.0001,0.0002
wirtschaftlich,11,0.0098,0.0002,0.0002,0.0149,0.0002
ermitteln,10,0.0002,0.0002,0.0002,0.0207,0.0002
kommunikation,10,0.0002,0.0014,0.0088,0.0001,0.0013
nationalsozialismus,10,0.0002,0.0194,0.0002,0.0001,0.0002
wissenschaftlich,10,0.0005,0.0002,0.0002,0.0157,0.0002
abhängigkeit,9,0.0183,0.0002,0.0002,0.0001,0.0007
demokratie,9,0.0004,0.0208,0.0002,0.0001,0.0002
analysekompetenz,8,0.0019,0.0002,0.0002,0.0001,0.0139
biologismus,8,0.0002,0.0002,0.0002,0.0166,0.0002
chauvinismen,8,0.0002,0.0002,0.0002,0.0166,0.0002
ethnozentrismen,8,0.0002,0.0002,0.0002,0.0166,0.0002
prozeß,8,0.0132,0.0002,0.0002,0.0001,0.0002
versatzstück,8,0.0002,0.0002,0.0002,0.0166,0.0002
modell,7,0.0002,0.0002,0.0002,0.0145,0.0002
vorgegeben,6,0.0002,0.0103,0.0002,0.0001,0.0002
