term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7
klischee,126,0.0222,0.0032,0.0595,0.0113,0.0001,0.0002,0.0003
form,102,0.0002,0.0003,0.067,0.0003,0.0001,0.0002,0.0003
beschreiben,100,0.0002,0.01,0.008,0.0005,0.014,0.0002,0.0523
mensch,80,0.0007,0.0126,0.0169,0.0271,0.0002,0.0133,0.0217
stereotyp,75,0.0002,0.0001,0.0434,0.0003,0.0245,0.0019,0.0002
sozial,68,0.0161,0.0205,0.0065,0.0057,0.0093,0.0002,0.0003
toleranz,67,0.01,0.0151,0.0069,0.0313,0.0001,0.0002,0.0003
ursache,66,0.0048,0.0002,0.0162,0.0088,0.005,0.0002,0.0125
wahrnehmung,62,0.0002,0.0127,0.0001,0.0068,0.01,0.0002,0.0224
folge,55,0.0094,0.0026,0.0153,0.0003,0.0045,0.0002,0.0089
urteil,54,0.0002,0.0115,0.0001,0.0332,0.0001,0.0002,0.0135
möglichkeit,52,0.0102,0.0078,0.0054,0.0102,0.0001,0.0051,0.0111
beispiel,51,0.0026,0.0027,0.0102,0.0028,0.0001,0.007,0.0159
erläutern,50,0.0045,0.0122,0.013,0.0003,0.0001,0.0002,0.0068
kritisch,48,0.0053,0.0108,0.0001,0.0003,0.0001,0.0218,0.0003
medium,46,0.0056,0.0001,0.0203,0.0062,0.0001,0.0081,0.004
analysieren,43,0.0002,0.0011,0.0002,0.0077,0.0432,0.0002,0.009
diskutieren,43,0.0103,0.0001,0.0031,0.0003,0.0001,0.0102,0.0164
prüfen,40,0.0002,0.0039,0.0061,0.0102,0.0001,0.0002,0.0125
historisch,39,0.0002,0.0001,0.0019,0.0002,0.0001,0.0398,0.0003
mobbing,39,0.0149,0.0067,0.0058,0.0068,0.0001,0.0002,0.0003
konflikt,38,0.0164,0.0053,0.0036,0.0004,0.0001,0.0002,0.0086
reflektieren,37,0.0002,0.0132,0.0001,0.0003,0.011,0.0031,0.0002
geschichte,36,0.0002,0.0001,0.0001,0.0031,0.0095,0.0128,0.0168
kultur,36,0.0086,0.0001,0.0001,0.0002,0.0001,0.0297,0.0003
diskriminierung,34,0.0137,0.0035,0.0065,0.0003,0.0013,0.0002,0.0002
leben,34,0.005,0.0161,0.0001,0.0004,0.0001,0.0052,0.0003
wert,32,0.0058,0.0005,0.0001,0.0292,0.0009,0.0002,0.0003
zusammenleben,32,0.0137,0.0031,0.0115,0.0003,0.0001,0.0002,0.0003
handeln,31,0.0002,0.0022,0.01,0.0242,0.0001,0.0021,0.0003
umgang,31,0.0002,0.0185,0.0017,0.0027,0.0001,0.012,0.0003
gewalt,30,0.0137,0.0001,0.008,0.0003,0.0001,0.0002,0.0002
bne,29,0.0002,0.0038,0.0113,0.0002,0.0001,0.0002,0.0002
gesellschaftlich,29,0.0002,0.0115,0.0045,0.0003,0.0252,0.0003,0.0003
religion,29,0.0339,0.0002,0.0001,0.0002,0.0001,0.0003,0.0003
begründet,28,0.0002,0.0001,0.0001,0.0227,0.0001,0.0082,0.0003
typisch,28,0.0002,0.0001,0.0009,0.0002,0.0248,0.0103,0.0002
ethik,26,0.0098,0.0004,0.0001,0.0164,0.0008,0.0006,0.0003
gegenwart,26,0.0002,0.0001,0.0001,0.0002,0.0001,0.0216,0.0062
möglich,26,0.0068,0.0058,0.0008,0.0003,0.0002,0.0019,0.0112
wertvorstellung,26,0.0126,0.0001,0.0001,0.0003,0.0001,0.0112,0.0003
einstellung,25,0.0002,0.0048,0.0013,0.0002,0.0001,0.0128,0.0003
erkennen,25,0.0004,0.0157,0.0001,0.0002,0.0048,0.0002,0.0029
europa,25,0.0002,0.0001,0.0001,0.0003,0.0332,0.0002,0.0002
sexualität,25,0.0048,0.0001,0.0001,0.0003,0.0001,0.0171,0.0002
abbau,24,0.0002,0.0199,0.0001,0.0119,0.0001,0.0002,0.0004
