rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,historisch,39,33.5911050228071,0.03978754265587697
2,kultur,36,25.037120140371165,0.02965563308765744
3,kritisch,48,18.370250423827994,0.021758948443075625
4,gegenwart,26,18.26590868504866,0.02163535913633349
5,sexualität,25,14.439246244316605,0.017102805206151837
6,orientierungskompetenz,11,13.640721246047898,0.01615697899981451
7,kulturell,16,12.5489902199446,0.014863860040484742
8,sexuell,13,12.15909141467954,0.014402037920151808
9,hinterfragen,21,11.869974934411745,0.014059589099746478
10,mensch,80,11.226035726298809,0.013296864601901302
11,deutungsmuster,15,11.196328468510405,0.013261677346654928
12,liebe,20,10.852072480432733,0.012853917619760513
13,einstellung,25,10.841260643979712,0.012841111360372175
14,geschichte,36,10.834313619513063,0.01283288284177743
15,setzen,10,10.420882876897954,0.012343187927130203
16,umgang,31,10.15241762513114,0.01202519979756315
17,wertmaßstäbe,13,9.73947972582031,0.011536088639359135
18,orientierung,8,9.686989035261847,0.011473915168488997
19,wertvorstellung,26,9.424883108989361,0.011163459447700886
20,sprache,5,9.068212958286534,0.010740995559551578
