rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,datum,140,135.39552619084984,0.027003989554772463
2,historisch,162,107.76053338621008,0.02149232252974238
3,ergebnis,95,90.59987603847915,0.018069711570515037
4,fragestellung,102,77.00795067194849,0.015358867121270261
5,quelle,118,75.11139236762756,0.014980607646376617
6,mithilfe,91,74.93458973330735,0.014945345207322986
7,experiment,159,69.10333119309651,0.013782328605954122
8,biologisch,168,68.24731724660025,0.013611600722099665
9,einfach,72,66.83702865510693,0.01333032541363623
10,information,158,63.40751001873917,0.012646324338860458
11,nutzung,55,55.059981811036025,0.010981449797797386
12,text,85,54.13267617666226,0.010796503128072022
13,kriterium,121,52.35028447000038,0.010441013634561246
14,interpretieren,77,52.17732834031564,0.010406518362443782
15,digitaler,54,50.74091979472316,0.010120033554172571
16,werkzeug,46,48.66043602402814,0.009705091025469442
17,unterschiedlich,281,47.838093976449485,0.009541078840665325
18,berücksichtigung,90,47.07433258041947,0.00938875028638458
19,kind,45,45.89237736169773,0.009153014976079123
20,führen,109,45.23570803163789,0.009022045421701973
