Topic_1,Topic_2,Topic_3,Topic_4,Topic_5
norm,experiment,norm,mensch,norm
sozial,gesellschaftlich,moralisch,information,ethisch
beitrag,deutsch,handeln,bne,politisch
gesellschaftlich,religionsunterricht,ethik,datum,entscheidung
politisch,führen,regel,leitperspektive,perspektive
demokratisch,entscheidung,leben,verschieden,argument
menschenrecht,gesellschaft,gerechtigkeit,beitrag,gesellschaftlich
aufgabe,verwendung,welt,nachhaltig,aussage
religion,geschichte,mensch,unterschiedlich,urteil
freiheit,fachlich,wertvorstellung,medium,handeln
konflikt,ergebnis,religion,welt,normativ
europäisch,planen,verschieden,entwicklung,auseinandersetzung
religiös,verschieden,zusammenleben,umgang,relevant
bedeutung,wandel,toleranz,quelle,möglichkeit
grundgesetz,folge,ethisch,bedeutung,unterschiedlich
demokratie,modell,bedeutung,umwelt,zusammenhang
ziel,verhalten,moral,interpretieren,position
entwicklung,kenntnis,thema,gerechtigkeit,sachverhalt
frieden,abhängigkeit,miteinander,text,frage
lernen,norm,begriff,darstellung,persönlich
