term,total_across_topics,Topic_1,Topic_2,Topic_3,Topic_4,Topic_5,Topic_6,Topic_7,Topic_8,Topic_9,Topic_10
gegenwart,277,0.0573,0.0001,0.0002,0.0078,0.0221,0.0002,0.0122,0.013,0.0002,0.0034
historisch,199,0.0567,0.0001,0.0002,0.0001,0.0012,0.0001,0.0053,0.0032,0.0002,0.0001
mensch,165,0.024,0.0058,0.0002,0.0045,0.0022,0.0106,0.0193,0.0001,0.0027,0.0159
leben,148,0.0043,0.0077,0.0002,0.0142,0.0016,0.0307,0.0133,0.0001,0.0002,0.0221
politisch,145,0.0078,0.0001,0.0002,0.0217,0.0026,0.0012,0.0001,0.0318,0.0002,0.0001
frage,136,0.0032,0.0001,0.0576,0.0,0.0141,0.0277,0.008,0.0001,0.0078,0.0233
entwicklung,121,0.0049,0.0001,0.0119,0.0125,0.0099,0.0061,0.0025,0.0217,0.0021,0.0012
geschichte,118,0.0306,0.0001,0.0002,0.0,0.0001,0.0001,0.0096,0.0016,0.0002,0.0001
gesellschaftlich,114,0.0017,0.0126,0.0002,0.0069,0.0062,0.0064,0.0106,0.0211,0.0002,0.0062
sozial,110,0.0,0.0001,0.0002,0.0112,0.0243,0.0186,0.0001,0.0151,0.0002,0.0001
gestaltung,110,0.0107,0.0137,0.0002,0.0,0.0001,0.0043,0.0066,0.0042,0.0002,0.0368
kompetenz,103,0.0052,0.0187,0.0002,0.0035,0.0065,0.0179,0.0045,0.0073,0.0076,0.0001
handeln,100,0.0,0.0001,0.0002,0.0092,0.0372,0.005,0.0061,0.0095,0.0002,0.0001
fach,97,0.0103,0.0122,0.0002,0.0037,0.0087,0.0001,0.0069,0.0134,0.0002,0.0001
vergangenheit,97,0.0215,0.0001,0.0002,0.0,0.0005,0.0003,0.014,0.0001,0.0002,0.0042
herausforderung,88,0.0,0.0037,0.007,0.0186,0.0001,0.0033,0.0001,0.0155,0.0002,0.0001
gesellschaft,80,0.0,0.0031,0.0002,0.0265,0.0001,0.0021,0.0001,0.0001,0.0002,0.0001
arbeit,79,0.0,0.0001,0.0002,0.0,0.0001,0.0491,0.0001,0.0001,0.0119,0.0054
inhalt,79,0.0,0.0039,0.0002,0.0091,0.0032,0.0131,0.0079,0.0061,0.0094,0.0001
europa,77,0.0001,0.0001,0.0002,0.0286,0.0001,0.0001,0.0002,0.0001,0.0002,0.0001
lernen,76,0.0102,0.0036,0.0002,0.0109,0.0101,0.001,0.0001,0.0001,0.0002,0.0001
reflektieren,74,0.009,0.0001,0.0002,0.0001,0.0051,0.0001,0.0001,0.0028,0.0002,0.0356
europäisch,74,0.0003,0.0001,0.0002,0.0278,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
demokratie,73,0.0,0.0001,0.0002,0.0273,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
entwickeln,72,0.0,0.002,0.0002,0.0024,0.0189,0.0001,0.0001,0.0127,0.0002,0.0189
welt,69,0.0,0.0001,0.0002,0.0173,0.0001,0.0001,0.0094,0.0001,0.0032,0.0001
aktuell,66,0.0099,0.0001,0.0002,0.0055,0.0001,0.0001,0.0048,0.0074,0.0002,0.0001
problem,65,0.0057,0.0001,0.0002,0.0016,0.0005,0.0001,0.0045,0.0194,0.0002,0.0001
ethik,63,0.0,0.0303,0.0204,0.0001,0.0001,0.0051,0.0058,0.0001,0.002,0.0004
wirtschaftlich,60,0.0064,0.0001,0.0002,0.0059,0.0001,0.0002,0.0001,0.0136,0.0002,0.0001
beitrag,57,0.0015,0.0145,0.0002,0.0045,0.0001,0.0001,0.0048,0.0084,0.0002,0.0001
verschieden,57,0.0017,0.0001,0.0002,0.0043,0.0132,0.0071,0.0085,0.0001,0.0002,0.0027
bedeutung,55,0.0025,0.0001,0.0002,0.0048,0.0013,0.0038,0.0164,0.0001,0.0002,0.0001
bezug,55,0.0012,0.025,0.0002,0.0019,0.0001,0.0001,0.0108,0.0001,0.0017,0.0001
thema,54,0.0,0.0001,0.0002,0.004,0.0001,0.0035,0.0245,0.0001,0.0002,0.0001
nachhaltig,53,0.0,0.0001,0.0002,0.0057,0.0092,0.0001,0.0009,0.0134,0.0002,0.0001
auseinandersetzung,53,0.0045,0.0001,0.0173,0.0016,0.0004,0.0068,0.006,0.0041,0.0002,0.0001
orientierung,53,0.0109,0.0001,0.0002,0.0,0.0012,0.0001,0.0102,0.0001,0.0002,0.0001
bildung,52,0.0014,0.0047,0.0002,0.0067,0.0084,0.0001,0.0022,0.0001,0.0175,0.0001
verantwortung,52,0.0,0.0089,0.0002,0.0048,0.0005,0.0045,0.0001,0.0028,0.0185,0.0028
chance,51,0.0,0.0001,0.0002,0.0026,0.0002,0.0032,0.002,0.0088,0.011,0.0131
ökologisch,50,0.0016,0.0001,0.0002,0.0021,0.0085,0.0003,0.0001,0.0159,0.0002,0.0001
deutschland,49,0.0,0.0001,0.0002,0.0106,0.0001,0.0001,0.0001,0.0001,0.0353,0.0001
ökonomisch,49,0.0,0.0001,0.0002,0.0,0.019,0.0002,0.0001,0.0169,0.0002,0.0001
international,48,0.0,0.0001,0.0002,0.0141,0.0001,0.0001,0.0001,0.0001,0.0155,0.0001
wandel,47,0.0001,0.0162,0.0002,0.0065,0.0001,0.0001,0.0001,0.0045,0.0085,0.0001
denken,46,0.0047,0.0001,0.0002,0.0,0.0197,0.0001,0.0031,0.0025,0.0032,0.0001
rolle,44,0.0015,0.0001,0.0002,0.0049,0.0039,0.0135,0.0015,0.0001,0.0002,0.0001
frieden,44,0.0,0.0104,0.0002,0.0123,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
menschlich,43,0.0013,0.0016,0.0002,0.0027,0.0055,0.0001,0.0144,0.0001,0.0002,0.0001
politik,43,0.0,0.0001,0.0002,0.0102,0.0001,0.0001,0.0034,0.0074,0.0002,0.0001
umgang,43,0.0,0.0031,0.0002,0.0054,0.0001,0.0107,0.0058,0.0001,0.0002,0.0001
möglich,42,0.0037,0.0001,0.0002,0.0001,0.0001,0.0167,0.0001,0.0003,0.0103,0.0001
unterricht,42,0.001,0.0002,0.0002,0.0011,0.0012,0.0001,0.0113,0.0041,0.0002,0.0108
fähigkeit,42,0.0083,0.0001,0.0002,0.0,0.0001,0.0012,0.0002,0.0075,0.0002,0.0001
grundlage,42,0.0,0.0002,0.0002,0.0029,0.0219,0.0038,0.0001,0.0038,0.0002,0.0001
wirtschaft,40,0.0,0.0001,0.0002,0.0095,0.0003,0.0001,0.0011,0.0073,0.0002,0.0001
iii,40,0.0,0.0342,0.0002,0.0007,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
darstellung,37,0.0074,0.0001,0.0002,0.0,0.0001,0.0096,0.0001,0.0001,0.0002,0.0001
geschichtsbewusstsein,37,0.0102,0.0001,0.0002,0.0002,0.0001,0.0001,0.0001,0.0001,0.0002,0.0038
zusammenhang,37,0.0078,0.001,0.0002,0.0005,0.0001,0.0001,0.0028,0.0001,0.0002,0.0059
gerechtigkeit,36,0.0,0.0182,0.0002,0.0055,0.0001,0.0001,0.0001,0.0001,0.0002,0.0001
verständnis,35,0.0076,0.0001,0.0002,0.0,0.0001,0.0001,0.0001,0.0062,0.0002,0.0001
lernende,35,0.0,0.0001,0.0002,0.0051,0.0001,0.0001,0.0028,0.0001,0.0245,0.0001
analysieren,34,0.0015,0.0001,0.0002,0.0,0.0001,0.0074,0.0001,0.0008,0.0043,0.015
aufgabe,34,0.0037,0.0001,0.0002,0.0051,0.0001,0.0001,0.0001,0.0001,0.0131,0.0001
blick,34,0.0,0.0001,0.0002,0.001,0.0251,0.0001,0.003,0.0001,0.0002,0.0001
umwelt,34,0.0,0.0001,0.0002,0.0,0.0001,0.0103,0.0001,0.002,0.0153,0.0062
grenze,33,0.0,0.0001,0.0002,0.0058,0.0159,0.0001,0.0001,0.0001,0.0019,0.0001
hoffnung,32,0.0011,0.0033,0.0002,0.0,0.0068,0.0001,0.0001,0.0001,0.0016,0.0158
freiheit,31,0.0,0.0001,0.0002,0.0071,0.0028,0.0001,0.0001,0.0001,0.0109,0.0001
ziel,31,0.0,0.0021,0.0002,0.0,0.0001,0.0001,0.013,0.0001,0.0016,0.0063
globalisierung,31,0.0001,0.0001,0.0002,0.0069,0.0001,0.0001,0.0002,0.004,0.0116,0.0001
