rank,term,overall_term_freq_all_topics,estimated_term_freq_within_topic_before_normalization,estimated_term_freq_within_topic
1,arbeit,79,65.16751359753974,0.035912018387931004
2,frage,136,29.3371262305626,0.0161668806814933
3,wandel,47,27.849431618694375,0.015347053235152695
4,fach,97,26.41904413652344,0.0145588061665469
5,form,26,22.742164945392943,0.012532579511076279
6,digitalisierung,21,19.093732712525437,0.010522029189285199
7,auseinandersetzung,53,18.268505770347403,0.010067269394324532
8,erfordern,18,18.036680825487366,0.009939517064628329
9,gestaltung,110,17.06800875232306,0.009405708616477482
10,markt,15,16.8334325881997,0.009276440165767612
11,gesellschaftlich,114,16.565976830359656,0.009129052678302196
12,anlage,15,15.331612492138166,0.008448828554893413
13,entwicklung,121,14.349400784732055,0.007907558787950195
14,datum,14,14.208901401562285,0.007830133455091152
15,zukünftig,30,14.148482435010791,0.007796838229939904
16,bilden,17,14.123040267606788,0.0077828177535828645
17,selbstbestimmt,14,14.0546571543167,0.007745133706941712
18,chance,51,13.96531474447864,0.007695899570363459
19,auftrag,13,13.593122130867329,0.007490794491989468
20,lösungsansatz,14,13.39081119375839,0.007379306517499521
